R version 4.5.2 (2025-10-31)
Platform: aarch64-apple-darwin20
Running under: macOS Tahoe 26.5.1

Matrix products: default
BLAS:   /System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib 
LAPACK: /Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/lib/libRlapack.dylib;  LAPACK version 3.12.1

locale:
[1] C.UTF-8/C.UTF-8/C.UTF-8/C/C.UTF-8/C.UTF-8

time zone: America/Los_Angeles
tzcode source: internal

attached base packages:
[1] stats     graphics  grDevices utils     datasets  methods   base     

other attached packages:
 [1] sandwich_3.1-1      robustbase_0.99-7   brglm2_1.0.1       
 [4] influence.ME_0.9-10 lmtest_0.9-40       zoo_1.8-15         
 [7] car_3.1-5           carData_3.0-5       nlme_3.1-168       
[10] survminer_0.5.2     ggpubr_0.6.3        blme_1.0-7         
[13] MuMIn_1.48.19       survival_3.8-6      xml2_1.5.2         
[16] DHARMa_0.4.7        emmeans_2.0.1       lmerTest_3.1-3     
[19] lme4_2.0-1          Matrix_1.7-4        broom.mixed_0.2.9.6
[22] broom_1.0.11        scales_1.4.0        patchwork_1.3.2    
[25] readxl_1.4.5        janitor_2.2.1       lubridate_1.9.5    
[28] forcats_1.0.1       stringr_1.6.0       dplyr_1.2.1        
[31] purrr_1.2.2         readr_2.2.0         tidyr_1.3.2        
[34] tibble_3.3.0        ggplot2_4.0.2       tidyverse_2.0.0    
[37] here_1.0.2         

loaded via a namespace (and not attached):
 [1] RColorBrewer_1.1-3  magrittr_2.0.4      TH.data_1.1-5      
 [4] estimability_1.5.1  farver_2.1.2        nloptr_2.2.1       
 [7] ragg_1.5.0          vctrs_0.7.3         minqa_1.2.8        
[10] rstatix_0.7.3       htmltools_0.5.9     cellranger_1.1.0   
[13] Formula_1.2-5       parallelly_1.46.1   pbkrtest_0.5.5     
[16] plyr_1.8.9          mime_0.13           lifecycle_1.0.5    
[19] iterators_1.0.14    pkgconfig_2.0.3     gap_1.6            
[22] R6_2.6.1            fastmap_1.2.0       rbibutils_2.4      
[25] future_1.68.0       shiny_1.12.1        snakecase_0.11.1   
[28] digest_0.6.39       numDeriv_2016.8-1.1 furrr_0.3.1        
[31] rprojroot_2.1.1     textshaping_1.0.4   qgam_2.0.0         
[34] labeling_0.4.3      timechange_0.4.0    abind_1.4-8        
[37] mgcv_1.9-4          compiler_4.5.2      bit64_4.6.0-1      
[40] withr_3.0.2         doParallel_1.0.17   S7_0.2.1           
[43] backports_1.5.0     ggsignif_0.6.4      MASS_7.3-65        
[46] ucminf_1.2.2        tools_4.5.2         otel_0.2.0         
[49] httpuv_1.6.16       nnet_7.3-20         glue_1.8.0         
[52] promises_1.5.0      grid_4.5.2          generics_0.1.4     
[55] gtable_0.3.6        tzdb_0.5.0          hms_1.1.4          
[58] utf8_1.2.6          ggrepel_0.9.7       foreach_1.5.2      
[61] pillar_1.11.1       vroom_1.7.1         later_1.4.5        
[64] splines_4.5.2       lattice_0.22-7      bit_4.6.0          
[67] tidyselect_1.2.1    knitr_1.51          reformulas_0.4.4   
[70] gridExtra_2.3       xfun_0.55           stats4_4.5.2       
[73] statmod_1.5.1       ordinal_2025.12-29  DEoptimR_1.1-4     
[76] stringi_1.8.7       boot_1.3-32         evaluate_1.0.5     
[79] codetools_0.2-20    cli_3.6.6           xtable_1.8-4       
[82] systemfonts_1.3.1   Rdpack_2.6.4        Rcpp_1.1.1         
[85] globals_0.18.0      coda_0.19-4.1       parallel_4.5.2     
[88] gap.datasets_0.0.6  listenv_0.10.0      viridisLite_0.4.2  
[91] mvtnorm_1.3-3       nleqslv_3.3.6       enrichwith_0.4.0   
[94] crayon_1.5.3        rlang_1.2.0         multcomp_1.4-29    
