sample,ID,PC1,PC2,PC3,PC4,thicket,cov,cluster
230_wound_D10,230_W_D10_S122_L005,0.0502772199982429,0.00706181371876788,0.175595528049541,-0.0947319019451712,d,22991996.9850001,2
233_wound_D10,233_W_D10_S128_L005,-0.0940594887549883,0.0492628308228454,-0.0134659214439033,-0.00556037267089249,d,20554139.945,4
159_wound_D1,159_W_D1_S16_L005,-0.0993167201957384,0.0530233678915754,-0.0139888962724734,-0.00704451518607239,a,18855361.001,4
236_wound_D3,236_W_D3_S74_L005,-0.0974090238855533,0.052207342050334,-0.0132412133310521,-0.00627047109475984,d,9747513.96800002,4
241_wound_D3,241_W_D3_S86_L005,-0.0944588524687829,0.0491059637680418,-0.0133791887876746,-0.0053145194320696,d,15985054.03,4
200_wound_D1,200_W_D1_S32_L005,0.182386667751865,0.150994818727393,-0.133142574351916,-0.0571262402784714,d,11050573.002,3
153_wound_D3,153_W_D3_S79_L005,-0.0955272971619642,0.0501543819678272,-0.0140483504371921,-0.00531365289750257,a,13139838.008,4
243_wound_D10,243_W_D10_S119_L005,0.0555523236395957,0.00626877980803227,0.192976049493538,-0.107018563480737,d,15370683.008,2
244_wound_D1,244_W_D1_S44_L005,-0.0150889600277496,0.00746663289839479,-0.00188953123481279,-0.000727413304943288,d,1747623.99900001,4
204_wound_D10,204_W_D10_S98_L005,0.0533939786759769,0.00803450085754893,0.187601121944559,-0.101841460860099,d,19974108.991,2
252_wound_D10,252_W_D10_S120_L005,0.0166743721067069,-0.110128016943114,-0.0368337454985473,0.000555341038014444,c,16720235.004,1
248_wound_D10,248_W_D10_S107_L005,0.153255118944763,0.121252985369375,-0.104330638756298,-0.0432216609218227,d,17820118.998,3
249_wound_D1,249_W_D1_S26_L005,0.0579764338390032,0.0086305455052919,0.208915577020291,-0.116246899411181,d,11447520.981,2
294_wound_D1,294_W_D1_S24_L005,0.0180168355092106,-0.10547768030917,-0.0343261116629451,0.000372869639834602,c,19986366.031,1
267_wound_D10,267_W_D10_S105_L005,0.0176899506440492,-0.102453451474611,-0.0336637936892219,0.000625317321106003,c,17501503.006,1
282_wound_D3,282_W_D3_S60_L005,0.01661037455105,-0.108446658064253,-0.0355751044322963,0.00099500398021927,c,12581308.988,1
251_wound_D10,251_W_D10_S132_L005,0.0172402410063825,-0.102421402129748,-0.0337326042522277,0.000615643654418973,c,17820166.994,1
279_wound_D10,279_W_D10_S99_L005,0.0178957310030598,-0.104962691479703,-0.0341550817337301,7.94866599631424e-05,c,16677525.99,1
253_wound_D10,253_W_D10_S111_L005,0.0180945109033873,-0.10601927605656,-0.034536205049536,0.0010115790319069,c,14180212.991,1
255_wound_D3,255_W_D3_S87_L005,0.0183697331820799,-0.109088893066382,-0.0363931235691392,0.000222983858749621,c,10487206.983,1
256_wound_D1,256_W_D1_S42_L005,0.169008635151576,0.134967487820295,-0.117985811516762,-0.0491250771066629,d,16366968.017,3
297_wound_D3,297_W_D3_S81_L005,0.0168356547275473,-0.101719535358681,-0.0326845176693761,0.000310116432630479,c,16034903.996,1
136_wound_D10,136_W_D10_S124_L005,-0.101229786675624,0.053519327308084,-0.0142054890872773,-0.00685175127099726,a,17151125.011,4
258_wound_D10,258_W_D10_S101_L005,0.054724319282863,0.00801877565193186,0.195219394670949,-0.106872540605174,d,18242136.984,2
195_wound_D10,195_W_D10_S142_L005,-0.101342222690003,0.0542127276230108,-0.0148893932491888,-0.00601702065680309,a,16242513.966,4
261_wound_D1,261_W_D1_S15_L005,0.0196444383407021,-0.11756945326644,-0.039868381866309,0.000671540239853419,c,14471352.976,1
263_wound_D1,263_W_D1_S36_L005,0.0208206887884566,-0.125714993413749,-0.0423753089650341,0.000615901132961714,c,14536759.957,1
268_wound_D1,268_W_D1_S12_L005,0.017790415427309,-0.103518262191402,-0.0339163231273086,0.000242336607208027,c,18868405.018,1
272_wound_D3,272_W_D3_S66_L005,0.015043224414072,-0.0999568620242028,-0.033234845076617,0.00144181817633577,c,9615462.00099999,1
273_wound_D3,273_W_D3_S69_L005,0.0165196800311932,-0.0999793424310368,-0.0331841432880349,3.83599138429137e-05,c,17618918.012,1
222_wound_D1,222_W_D1_S8_L005,0.0581065027155083,0.00882222998642586,0.210028096651982,-0.117650704221714,d,11581060.024,2
275_wound_D10,275_W_D10_S117_L005,0.0174571617896555,-0.10300042385455,-0.033606860814802,0.000284808098100606,c,16904362.988,1
276_wound_D1,276_W_D1_S30_L005,0.0213172292965331,-0.12302886895191,-0.042341144404233,0.00212170730205931,c,10677145.955,1
286_wound_D10,286_W_D10_S135_L005,0.0174250463819126,-0.105319399948865,-0.034988474972908,0.00050309501284696,c,14060733.003,1
278_wound_D1,278_W_D1_S33_L005,0.0210055088822431,-0.124516275458029,-0.0425833615668672,0.000240631576084504,c,13404047.023,1
205_wound_D10,205_W_D10_S134_L005,0.0659852024802644,0.0417868665490162,0.124940285148658,0.280355248218094,d,16541903.001,5
283_wound_D10,283_W_D10_S138_L005,0.016065139823251,-0.0997203209954464,-0.0335273117103423,-5.20080476357088e-05,c,18416763.918,1
284_wound_D3,284_W_D3_S93_L005,0.0176643000151155,-0.108161838977974,-0.0345512247272048,0.00178121318764694,c,12648079.015,1
