"project","date","tank","treatment","apex id","acc.ramp.hold"
"18. STH thermal performance acpu 2025","05/14/2025","1","88","TEMP1","acclimate"
"18. STH thermal performance acpu 2025","05/14/2025","4","90","TEMP4","acclimate"
"18. STH thermal performance acpu 2025","05/14/2025","5","93","TEMP5","acclimate"
"18. STH thermal performance acpu 2025","05/14/2025","6","91","TEMP6","acclimate"
"18. STH thermal performance acpu 2025","05/14/2025","9","84","TEMP9","acclimate"
"18. STH thermal performance acpu 2025","05/14/2025","10","86","TEMP10","acclimate"
"18. STH thermal performance acpu 2025","05/14/2025","11","83","TEMP11","acclimate"
"18. STH thermal performance acpu 2025","05/15/2025","1","88","TEMP1","acclimate"
"18. STH thermal performance acpu 2025","05/15/2025","4","90","TEMP4","acclimate"
"18. STH thermal performance acpu 2025","05/15/2025","5","93","TEMP5","acclimate"
"18. STH thermal performance acpu 2025","05/15/2025","6","91","TEMP6","acclimate"
"18. STH thermal performance acpu 2025","05/15/2025","9","84","TEMP9","acclimate"
"18. STH thermal performance acpu 2025","05/15/2025","10","86","TEMP10","acclimate"
"18. STH thermal performance acpu 2025","05/15/2025","11","83","TEMP11","acclimate"
"18. STH thermal performance acpu 2025","05/16/2025","1","88","TEMP1","ramp "
"18. STH thermal performance acpu 2025","05/16/2025","4","90","TEMP4","ramp "
"18. STH thermal performance acpu 2025","05/16/2025","5","93","TEMP5","ramp "
"18. STH thermal performance acpu 2025","05/16/2025","6","91","TEMP6","ramp "
"18. STH thermal performance acpu 2025","05/16/2025","9","84","TEMP9","ramp "
"18. STH thermal performance acpu 2025","05/16/2025","10","86","TEMP10","ramp "
"18. STH thermal performance acpu 2025","05/16/2025","11","83","TEMP11","hold"
"18. STH thermal performance acpu 2025","05/17/2025","1","88","TEMP1","ramp "
"18. STH thermal performance acpu 2025","05/17/2025","4","90","TEMP4","ramp "
"18. STH thermal performance acpu 2025","05/17/2025","5","93","TEMP5","ramp "
"18. STH thermal performance acpu 2025","05/17/2025","6","91","TEMP6","ramp "
"18. STH thermal performance acpu 2025","05/17/2025","9","84","TEMP9","hold"
"18. STH thermal performance acpu 2025","05/17/2025","10","86","TEMP10","ramp "
"18. STH thermal performance acpu 2025","05/17/2025","11","83","TEMP11","hold"
"18. STH thermal performance acpu 2025","05/18/2025","1","88","TEMP1","ramp "
"18. STH thermal performance acpu 2025","05/18/2025","4","90","TEMP4","ramp "
"18. STH thermal performance acpu 2025","05/18/2025","5","93","TEMP5","ramp "
"18. STH thermal performance acpu 2025","05/18/2025","6","91","TEMP6","ramp "
"18. STH thermal performance acpu 2025","05/18/2025","9","84","TEMP9","hold"
"18. STH thermal performance acpu 2025","05/18/2025","10","86","TEMP10","hold"
"18. STH thermal performance acpu 2025","05/18/2025","11","83","TEMP11","hold"
