"project","date","tank","treatment","apex id","acc.ramp.hold"
"18. STH thermal performance acpu 2025","05/19/2025","1","88","TEMP1","hold"
"18. STH thermal performance acpu 2025","05/19/2025","4","90","TEMP4","ramp "
"18. STH thermal performance acpu 2025","05/19/2025","5","93","TEMP5","ramp "
"18. STH thermal performance acpu 2025","05/19/2025","6","91","TEMP6","ramp "
"18. STH thermal performance acpu 2025","05/19/2025","9","84","TEMP9","hold"
"18. STH thermal performance acpu 2025","05/19/2025","10","86","TEMP10","hold"
"18. STH thermal performance acpu 2025","05/19/2025","11","83","TEMP11","hold"
"18. STH thermal performance acpu 2025","05/20/2025","1","88","TEMP1","hold"
"18. STH thermal performance acpu 2025","05/20/2025","4","90","TEMP4","hold"
"18. STH thermal performance acpu 2025","05/20/2025","5","93","TEMP5","ramp "
"18. STH thermal performance acpu 2025","05/20/2025","6","91","TEMP6","ramp "
"18. STH thermal performance acpu 2025","05/20/2025","9","84","TEMP9","hold"
"18. STH thermal performance acpu 2025","05/20/2025","10","86","TEMP10","hold"
"18. STH thermal performance acpu 2025","05/20/2025","11","83","TEMP11","hold"
"18. STH thermal performance acpu 2025","05/21/2025","1","88","TEMP1","hold"
"18. STH thermal performance acpu 2025","05/21/2025","4","90","TEMP4","hold"
"18. STH thermal performance acpu 2025","05/21/2025","5","93","TEMP5","ramp "
"18. STH thermal performance acpu 2025","05/21/2025","6","91","TEMP6","hold"
"18. STH thermal performance acpu 2025","05/21/2025","9","84","TEMP9","hold"
"18. STH thermal performance acpu 2025","05/21/2025","10","86","TEMP10","hold"
"18. STH thermal performance acpu 2025","05/21/2025","11","83","TEMP11","hold"
"18. STH thermal performance acpu 2025","05/22/2025","1","88","TEMP1","hold"
"18. STH thermal performance acpu 2025","05/22/2025","4","90","TEMP4","hold"
"18. STH thermal performance acpu 2025","05/22/2025","5","93","TEMP5","hold"
"18. STH thermal performance acpu 2025","05/22/2025","6","91","TEMP6","hold"
"18. STH thermal performance acpu 2025","05/22/2025","9","84","TEMP9","hold"
"18. STH thermal performance acpu 2025","05/22/2025","10","86","TEMP10","hold"
"18. STH thermal performance acpu 2025","05/22/2025","11","83","TEMP11","hold"
"18. STH thermal performance acpu 2025","05/23/2025","1","88","TEMP1","hold"
"18. STH thermal performance acpu 2025","05/23/2025","4","90","TEMP4","hold"
"18. STH thermal performance acpu 2025","05/23/2025","5","93","TEMP5","hold"
"18. STH thermal performance acpu 2025","05/23/2025","6","91","TEMP6","hold"
"18. STH thermal performance acpu 2025","05/23/2025","9","84","TEMP9","hold"
"18. STH thermal performance acpu 2025","05/23/2025","10","86","TEMP10","hold"
"18. STH thermal performance acpu 2025","05/23/2025","11","83","TEMP11","hold"
"18. STH thermal performance acpu 2025","05/24/2025","1","88","TEMP1","hold"
"18. STH thermal performance acpu 2025","05/24/2025","4","90","TEMP4","hold"
"18. STH thermal performance acpu 2025","05/24/2025","5","93","TEMP5","hold"
"18. STH thermal performance acpu 2025","05/24/2025","6","91","TEMP6","hold"
"18. STH thermal performance acpu 2025","05/24/2025","9","84","TEMP9","hold"
"18. STH thermal performance acpu 2025","05/24/2025","10","86","TEMP10","hold"
"18. STH thermal performance acpu 2025","05/24/2025","11","83","TEMP11","hold"
"18. STH thermal performance acpu 2025","05/25/2025","1","88","TEMP1","hold"
"18. STH thermal performance acpu 2025","05/25/2025","4","90","TEMP4","hold"
"18. STH thermal performance acpu 2025","05/25/2025","5","93","TEMP5","hold"
"18. STH thermal performance acpu 2025","05/25/2025","6","91","TEMP6","hold"
"18. STH thermal performance acpu 2025","05/25/2025","9","84","TEMP9","hold"
"18. STH thermal performance acpu 2025","05/25/2025","10","86","TEMP10","hold"
"18. STH thermal performance acpu 2025","05/25/2025","11","83","TEMP11","hold"
"18. STH thermal performance acpu 2025","05/26/2025","1","88","TEMP1","hold"
"18. STH thermal performance acpu 2025","05/26/2025","4","90","TEMP4","hold"
"18. STH thermal performance acpu 2025","05/26/2025","5","93","TEMP5","hold"
"18. STH thermal performance acpu 2025","05/26/2025","6","91","TEMP6","hold"
"18. STH thermal performance acpu 2025","05/26/2025","9","84","TEMP9","hold"
"18. STH thermal performance acpu 2025","05/26/2025","10","86","TEMP10","hold"
"18. STH thermal performance acpu 2025","05/26/2025","11","83","TEMP11","hold"
"18. STH thermal performance acpu 2025","05/27/2025","1","88","TEMP1","hold"
"18. STH thermal performance acpu 2025","05/27/2025","4","90","TEMP4","hold"
"18. STH thermal performance acpu 2025","05/27/2025","5","93","TEMP5","hold"
"18. STH thermal performance acpu 2025","05/27/2025","6","91","TEMP6","hold"
"18. STH thermal performance acpu 2025","05/27/2025","9","84","TEMP9","hold"
"18. STH thermal performance acpu 2025","05/27/2025","10","86","TEMP10","hold"
"18. STH thermal performance acpu 2025","05/27/2025","11","83","TEMP11","hold"
"17. LTH expression by temperature","05/28/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","05/28/2025","4","31","TEMP4","ramp "
"17. LTH expression by temperature","05/28/2025","5","31","TEMP5","ramp "
"17. LTH expression by temperature","05/28/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","05/28/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","05/28/2025","10","31","TEMP10","ramp "
"17. LTH expression by temperature","05/28/2025","11","31","TEMP11","ramp "
"17. LTH expression by temperature","05/28/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","05/29/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","05/29/2025","4","31","TEMP4","ramp "
"17. LTH expression by temperature","05/29/2025","5","31","TEMP5","ramp "
"17. LTH expression by temperature","05/29/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","05/29/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","05/29/2025","10","31","TEMP10","ramp "
"17. LTH expression by temperature","05/29/2025","11","31","TEMP11","ramp "
"17. LTH expression by temperature","05/29/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","05/30/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","05/30/2025","4","31","TEMP4","ramp "
"17. LTH expression by temperature","05/30/2025","5","31","TEMP5","ramp "
"17. LTH expression by temperature","05/30/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","05/30/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","05/30/2025","10","31","TEMP10","ramp "
"17. LTH expression by temperature","05/30/2025","11","31","TEMP11","ramp "
"17. LTH expression by temperature","05/30/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","05/31/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","05/31/2025","4","31","TEMP4","ramp "
"17. LTH expression by temperature","05/31/2025","5","31","TEMP5","ramp "
"17. LTH expression by temperature","05/31/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","05/31/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","05/31/2025","10","31","TEMP10","ramp "
"17. LTH expression by temperature","05/31/2025","11","31","TEMP11","ramp "
"17. LTH expression by temperature","05/31/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/01/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/01/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/01/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/01/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/01/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/01/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/01/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/01/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/02/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/02/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/02/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/02/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/02/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/02/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/02/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/02/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/03/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/03/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/03/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/03/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/03/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/03/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/03/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/03/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/04/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/04/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/04/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/04/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/04/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/04/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/04/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/04/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/05/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/05/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/05/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/05/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/05/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/05/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/05/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/05/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/06/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/06/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/06/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/06/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/06/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/06/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/06/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/06/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/07/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/07/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/07/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/07/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/07/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/07/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/07/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/07/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/08/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/08/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/08/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/08/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/08/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/08/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/08/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/08/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/09/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/09/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/09/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/09/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/09/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/09/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/09/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/09/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/10/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/10/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/10/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/10/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/10/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/10/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/10/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/10/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/11/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/11/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/11/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/11/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/11/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/11/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/11/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/11/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/12/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/12/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/12/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/12/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/12/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/12/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/12/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/12/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/13/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/13/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/13/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/13/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/13/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/13/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/13/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/13/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/14/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/14/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/14/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/14/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/14/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/14/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/14/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/14/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/15/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/15/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/15/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/15/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/15/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/15/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/15/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/15/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/16/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/16/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/16/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/16/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/16/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/16/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/16/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/16/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/17/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/17/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/17/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/17/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/17/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/17/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/17/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/17/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/18/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/18/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/18/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/18/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/18/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/18/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/18/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/18/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature","06/19/2025","3","28","TEMP3","hold"
"17. LTH expression by temperature","06/19/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature","06/19/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature","06/19/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature","06/19/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature","06/19/2025","10","31","TEMP10","hold"
"17. LTH expression by temperature","06/19/2025","11","31","TEMP11","hold"
"17. LTH expression by temperature","06/19/2025","12","28","TEMP12","hold"
"17. LTH expression by temperature (microscope photos)","06/27/2025","4","31","TEMP4","ramp "
"17. LTH expression by temperature (microscope photos)","06/27/2025","5","31","TEMP5","ramp "
"17. LTH expression by temperature (microscope photos)","06/27/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","06/27/2025","9","28","TEMP9","ramp "
"17. LTH expression by temperature (microscope photos)","06/28/2025","4","31","TEMP4","ramp "
"17. LTH expression by temperature (microscope photos)","06/28/2025","5","31","TEMP5","ramp "
"17. LTH expression by temperature (microscope photos)","06/28/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","06/28/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","06/29/2025","4","31","TEMP4","ramp "
"17. LTH expression by temperature (microscope photos)","06/29/2025","5","31","TEMP5","ramp "
"17. LTH expression by temperature (microscope photos)","06/29/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","06/29/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","06/30/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","06/30/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","06/30/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","06/30/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/01/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/01/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/01/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/01/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/02/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/02/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/02/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/02/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/03/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/03/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/03/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/03/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/04/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/04/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/04/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/04/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/05/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/05/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/05/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/05/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/06/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/06/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/06/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/06/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/07/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/07/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/07/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/07/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/08/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/08/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/08/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/08/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/09/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/09/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/09/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/09/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/10/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/10/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/10/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/10/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/11/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/11/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/11/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/11/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/12/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/12/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/12/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/12/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/13/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/13/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/13/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/13/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/14/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/14/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/14/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/14/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/15/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/15/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/15/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/15/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/16/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/16/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/16/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/16/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/17/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/17/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/17/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/17/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/18/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/18/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/18/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/18/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/19/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/19/2025","5","31","TEMP5","hold"
"17. LTH expression by temperature (microscope photos)","07/19/2025","6","28","TEMP6","hold"
"17. LTH expression by temperature (microscope photos)","07/19/2025","9","28","TEMP9","hold"
"17. LTH expression by temperature (microscope photos)","07/20/2025","4","31","TEMP4","hold"
"17. LTH expression by temperature (microscope photos)","07/20/2025","5","31","TEMP5","hold"
