species,date,treatment,tank,thicket ,sample,id,health_status,polyps out,algae on wound,growing tip present,notes
a. pulchra,,31,10,d,phys,110,,,,,
a. pulchra,,31,10,d,phys,120,,,,,
a. pulchra,,31,10,d,gene,186,,,,,
a. pulchra,,31,10,d,gene,205,,,,,
a. pulchra,,31,10,d,gene,216,,,,,
a. pulchra,,31,10,d,gene,241,,,,,
a. pulchra,,31,10,d,gene,256,,,,,
a. pulchra,,31,10,d,gene,259,,,,,
a. pulchra,,31,11,a,gene,112,,,,,
a. pulchra,,31,11,a,phys,163,,,,,
a. pulchra,,31,11,a,gene,168,,,,,
a. pulchra,,31,11,a,phys,174,,,,,
a. pulchra,,31,11,a,gene,181,,,,,
a. pulchra,,31,11,a,gene,188,,,,,
a. pulchra,,31,11,a,gene,195,,,,,
a. pulchra,,31,11,a,gene,207,,,,,
a. pulchra,,31,11,c,phys,116,,,,,
a. pulchra,,31,11,c,phys,127,,,,,
a. pulchra,,31,11,c,gene,264,,,,,
a. pulchra,,31,11,c,gene,265,,,,,
a. pulchra,,31,11,c,gene,269,,,,,
a. pulchra,,31,11,c,gene,284,,,,,
a. pulchra,,31,11,c,gene,299,,,,,
a. pulchra,,31,11,c,gene,300,,,,,
a. pulchra,,31,11,d,phys,128,,,,,
a. pulchra,,31,11,d,phys,149,,,,,
a. pulchra,,31,11,d,gene,185,,,,,
a. pulchra,,31,11,d,gene,219,,,,,
a. pulchra,,31,11,d,gene,225,,,,,
a. pulchra,,31,11,d,gene,228,,,,,
a. pulchra,,31,11,d,gene,240,,,,,
a. pulchra,,31,11,d,gene,244,,,,,
a. pulchra,,28,12,a,gene,151,,,,,
a. pulchra,,28,12,a,gene,164,,,,,
a. pulchra,,28,12,a,gene,167,,,,,
a. pulchra,,28,12,a,phys,176,,,,,
a. pulchra,,28,12,a,phys,177,,,,,
a. pulchra,,28,12,a,gene,190,,,,,
a. pulchra,,28,12,a,gene,196,,,,,
a. pulchra,,28,12,a,gene,213,,,,,
a. pulchra,,28,12,c,phys,125,,,,,
a. pulchra,,28,12,c,phys,130,,,,,
a. pulchra,,28,12,c,gene,252,,,,,
a. pulchra,,28,12,c,gene,261,,,,,
a. pulchra,,28,12,c,gene,273,,,,,
a. pulchra,,28,12,c,gene,275,,,,,
a. pulchra,,28,12,c,gene,287,,,,,
a. pulchra,,28,12,c,gene,294,,,,,
a. pulchra,,28,12,c,gene,301,,,,,
a. pulchra,,28,12,d,phys,144,,,,,
a. pulchra,,28,12,d,phys,147,,,,,
a. pulchra,,28,12,d,gene,201,,,,,
a. pulchra,,28,12,d,gene,202,,,,,
a. pulchra,,28,12,d,gene,223,,,,,
a. pulchra,,28,12,d,gene,231,,,,,
a. pulchra,,28,12,d,gene,234,,,,,
a. pulchra,,28,12,d,gene,243,,,,,
