species,date,treatment,tank,thicket ,sample,id,health_status,polyps out,algae on wound,growing tip present,notes
a. pulchra,,28,3,a,gene,111,,,,,
a. pulchra,,28,3,a,gene,114,,,,,
a. pulchra,,28,3,a,gene,134,,,,,
a. pulchra,,28,3,a,gene,160,,,,,
a. pulchra,,28,3,a,phys,162,,,,,
a. pulchra,,28,3,a,phys,172,,,,,
a. pulchra,,28,3,a,gene,191,,,,,
a. pulchra,,28,3,a,gene,209,,,,,
a. pulchra,,28,3,c,phys,129,,,,,
a. pulchra,,28,3,c,phys,139,,,,,
a. pulchra,,28,3,c,gene,250,,,,,
a. pulchra,,28,3,c,gene,279,,,,,
a. pulchra,,28,3,c,gene,290,,,,,
a. pulchra,,28,3,c,gene,291,,,,,
a. pulchra,,28,3,c,gene,296,,,,,
a. pulchra,,28,3,c,gene,298,,,,,
a. pulchra,,28,3,d,phys,113,,,,,
a. pulchra,,28,3,d,phys,156,,,,,
a. pulchra,,28,3,d,gene,203,,,,,
a. pulchra,,28,3,d,gene,204,,,,,
a. pulchra,,28,3,d,gene,242,,,,,
a. pulchra,,28,3,d,gene,246,,,,,
a. pulchra,,28,3,d,gene,247,,,,,
a. pulchra,,28,3,d,gene,258,,,,,
a. pulchra,,31,4,a,gene,136,,,,,
a. pulchra,,31,4,a,gene,138,,,,,
a. pulchra,,31,4,a,gene,142,,,,,
a. pulchra,,31,4,a,phys,152,,,,,
a. pulchra,,31,4,a,phys,165,,,,,
a. pulchra,,31,4,a,gene,182,,,,,
a. pulchra,,31,4,a,gene,197,,,,,
a. pulchra,,31,4,a,gene,211,,,,,
a. pulchra,,31,4,c,phys,133,,,,,
a. pulchra,,31,4,c,phys,141,,,,,
a. pulchra,,31,4,c,gene,260,,,,,
a. pulchra,,31,4,c,gene,274,,,,,
a. pulchra,,31,4,c,gene,276,,,,,
a. pulchra,,31,4,c,gene,289,,,,,
a. pulchra,,31,4,c,gene,293,,,,,
a. pulchra,,31,4,c,gene,295,,,,,
a. pulchra,,31,4,d,phys,143,,,,,
a. pulchra,,31,4,d,phys,150,,,,,
a. pulchra,,31,4,d,gene,206,,,,,
a. pulchra,,31,4,d,gene,215,,,,,
a. pulchra,,31,4,d,gene,224,,,,,
a. pulchra,,31,4,d,gene,230,,,,,
a. pulchra,,31,4,d,gene,236,,,,,
a. pulchra,,31,4,d,gene,249,,,,,
a. pulchra,,31,5,a,gene,153,,,,,
a. pulchra,,31,5,a,phys,161,,,,,
a. pulchra,,31,5,a,phys,170,,,,,
a. pulchra,,31,5,a,gene,180,,,,,
a. pulchra,,31,5,a,gene,183,,,,,
a. pulchra,,31,5,a,gene,184,,,,,
a. pulchra,,31,5,a,gene,198,,,,,
a. pulchra,,31,5,a,gene,212,,,,,
a. pulchra,,31,5,c,phys,115,,,,,
a. pulchra,,31,5,c,phys,124,,,,,
a. pulchra,,31,5,c,gene,251,,,,,
a. pulchra,,31,5,c,gene,263,,,,,
a. pulchra,,31,5,c,gene,270,,,,,
a. pulchra,,31,5,c,gene,277,,,,,
a. pulchra,,31,5,c,gene,278,,,,,
a. pulchra,,31,5,c,gene,297,,,,,
a. pulchra,,31,5,d,phys,126,,,,,
a. pulchra,,31,5,d,phys,154,,,,,
a. pulchra,,31,5,d,gene,200,,,,,
a. pulchra,,31,5,d,gene,221,,,,,
a. pulchra,,31,5,d,gene,226,,,,,
a. pulchra,,31,5,d,gene,233,,,,,
a. pulchra,,31,5,d,gene,235,,,,,
a. pulchra,,31,5,d,gene,239,,,,,
a. pulchra,,28,6,a,gene,135,,,,,
a. pulchra,,28,6,a,gene,140,,,,,
a. pulchra,,28,6,a,phys,169,,,,,
a. pulchra,,28,6,a,phys,179,,,,,
a. pulchra,,28,6,a,gene,192,,,,,
a. pulchra,,28,6,a,gene,194,,,,,
a. pulchra,,28,6,a,gene,199,,,,,
a. pulchra,,28,6,a,gene,208,,,,,
a. pulchra,,28,6,c,phys,117,,,,,
a. pulchra,,28,6,c,phys,123,,,,,
a. pulchra,,28,6,c,gene,267,,,,,
a. pulchra,,28,6,c,gene,268,,,,,
a. pulchra,,28,6,c,gene,280,,,,,
a. pulchra,,28,6,c,gene,281,,,,,
a. pulchra,,28,6,c,gene,282,,,,,
a. pulchra,,28,6,c,gene,292,,,,,
a. pulchra,,28,6,d,phys,145,,,,,
a. pulchra,,28,6,d,phys,146,,,,,
a. pulchra,,28,6,d,gene,220,,,,,
a. pulchra,,28,6,d,gene,222,,,,,
a. pulchra,,28,6,d,gene,232,,,,,
a. pulchra,,28,6,d,gene,238,,,,,
a. pulchra,,28,6,d,gene,245,,,,,
a. pulchra,,28,6,d,gene,248,,,,,
a. pulchra,,28,9,a,gene,137,,,,,
a. pulchra,,28,9,a,gene,148,,,,,
a. pulchra,,28,9,a,gene,157,,,,,
a. pulchra,,28,9,a,gene,159,,,,,
a. pulchra,,28,9,a,phys,166,,,,,
a. pulchra,,28,9,a,phys,173,,,,,
a. pulchra,,28,9,a,gene,187,,,,,
a. pulchra,,28,9,a,gene,189,,,,,
a. pulchra,,28,9,c,phys,121,,,,,
a. pulchra,,28,9,c,phys,131,,,,,
a. pulchra,,28,9,c,gene,253,,,,,
a. pulchra,,28,9,c,gene,271,,,,,
a. pulchra,,28,9,c,gene,272,,,,,
a. pulchra,,28,9,c,gene,285,,,,,
a. pulchra,,28,9,c,gene,288,,,,,
a. pulchra,,28,9,d,phys,118,,,,,
a. pulchra,,28,9,d,phys,122,,,,,
a. pulchra,,28,9,d,gene,217,,,,,
a. pulchra,,28,9,d,gene,218,,,,,
a. pulchra,,28,9,d,gene,227,,,,,
a. pulchra,,28,9,d,gene,229,,,,,
a. pulchra,,28,9,d,gene,237,,,,,
a. pulchra,,28,9,d,gene,257,,,,,
a. pulchra,,31,10,a,gene,155,,,,,
a. pulchra,,31,10,a,gene,158,,,,,
a. pulchra,,31,10,a,gene,171,,,,,
a. pulchra,,31,10,a,phys,175,,,,,
a. pulchra,,31,10,a,phys,178,,,,,
a. pulchra,,31,10,a,gene,193,,,,,
a. pulchra,,31,10,a,gene,210,,,,,
a. pulchra,,31,10,a,gene,214,,,,,
a. pulchra,,31,10,c,phys,119,,,,,
a. pulchra,,31,10,c,phys,132,,,,,
a. pulchra,,31,10,c,gene,254,,,,,
a. pulchra,,31,10,c,gene,255,,,,,
a. pulchra,,31,10,c,gene,262,,,,,
a. pulchra,,31,10,c,gene,266,,,,,
a. pulchra,,31,10,c,gene,283,,,,,
a. pulchra,,31,10,c,gene,286,,,,,
