"file","column","unit","description"
"Plate_1.csv","Well","NA","96-well plate coordinate"
"Plate_1.csv","Plate","NA","Plate identifier"
"Plate_1.csv","Day","day","RNA-seq sampling day"
"Plate_1.csv","Temp","C","Temperature treatment"
"Plate_1.csv","Wound","NA","Wound treatment or control role"
"Plate_1.csv","Tank","NA","Tank number"
"Plate_1.csv","Genotype","NA","Pre-genotype-analysis thicket/genet label"
"Plate_1.csv","Sample_ID","NA","Sample identifier"
"Plate_1.csv","Role","NA","Sample, control, or other plate role"
"Plate_1.csv","Notes","NA","Free-text plate notes"
"Plate_2.csv","Well","NA","Same definition as Plate_1.csv"
"Selected_Samples.csv","Sample_ID","NA","Selected RNA-seq sample identifier"
"Selected_Samples.csv","Temp_C","C","Temperature treatment"
"Selected_Samples.csv","Day","day","RNA-seq sampling day"
"Selected_Samples.csv","Wound","NA","Wound treatment"
"Selected_Samples.csv","Tank","NA","Tank number"
"Selected_Samples.csv","Genotype","NA","Pre-genotype-analysis thicket/genet label"
"Selected_Samples.csv","Fragment_ID","NA","Coral fragment ID"
"Selected_Samples.csv","SampleType","NA","Sample or control type"
"Selected_Samples.csv","BiopsyDate","date","Biopsy date"
"Selected_Samples.csv","Plate","NA","Assigned plate"
"Selected_Samples.csv","WoundOrder","NA","Order/index for wound treatment balancing"

