"file","column","unit","description"
"datalog*.xml","record/date","local timestamp","Timestamp recorded by Neptune Apex; parsed with Pacific/Tahiti timezone"
"datalog*.xml","probe/name","NA","Apex probe name; temperature probes are Temp1 through Temp12"
"datalog*.xml","probe/value","mixed","Raw probe reading; Temp probes above 60 are converted from F to C before aggregation"
"data/processed/apex_temperature.rds","datetime","hour","Hourly bin used after XML parsing"
"data/processed/apex_temperature.rds","probe","NA","Apex probe identifier"
"data/processed/apex_temperature.rds","value_mean","C or native probe unit","Hourly mean reading after temperature-unit correction for Temp probes"
"data/processed/apex_temperature.rds","value_sd","C or native probe unit","Within-hour standard deviation"
"data/processed/apex_temperature.rds","n","count","Number of raw readings in the hourly bin"
"data/processed/apex_temperature_daily.rds","date","date","Daily aggregation date"
"data/processed/apex_temperature_daily.rds","tank","NA","Tank inferred from the Temp probe number"
"data/processed/apex_temperature_daily.rds","value_c","C","Daily mean tank temperature after filtering to plausible experimental values"
"data/processed/apex_temperature_daily.rds","treatment","C","Treatment assigned from tank plumbing"

