"file","column","unit","description"
"PRELIM_LTH_genoclusters.csv","sample","NA","Bay lab sample label; leading integer is the LTH coral fragment ID"
"PRELIM_LTH_genoclusters.csv","ID","NA","Sequencing/library identifier; leading integer is the LTH coral fragment ID"
"PRELIM_LTH_genoclusters.csv","PC1","NA","Preliminary SNP principal component 1"
"PRELIM_LTH_genoclusters.csv","PC2","NA","Preliminary SNP principal component 2"
"PRELIM_LTH_genoclusters.csv","PC3","NA","Preliminary SNP principal component 3"
"PRELIM_LTH_genoclusters.csv","PC4","NA","Preliminary SNP principal component 4"
"PRELIM_LTH_genoclusters.csv","thicket","NA","Field source-thicket label reported with the preliminary SNP table"
"PRELIM_LTH_genoclusters.csv","cov","NA","Coverage metric supplied by the Bay lab; lower values were flagged in email as less confident for some singleton clusters"
"PRELIM_LTH_genoclusters.csv","cluster","NA","Preliminary genotype-cluster assignment from an incomplete SNP set; replace with final SNP calls when available"
