"file","column","unit","description"
"data.csv","species","NA","Coral species"
"data.csv","date","date","Observation date; mostly blank in imported sheet"
"data.csv","treatment","C","Temperature treatment"
"data.csv","tank","NA","Tank number"
"data.csv","thicket","NA","Pre-genotype-analysis thicket/genet label; raw header has trailing whitespace"
"data.csv","sample","NA","Sample purpose"
"data.csv","id","NA","Coral fragment ID"
"data.csv","health_status","NA","Health status field; mostly blank in imported sheet"
"data.csv","polyps out","yes/no","Whether polyps were out; mostly blank in imported sheet"
"data.csv","algae on wound","yes/no","Whether algae was visible on wound; mostly blank in imported sheet"
"data.csv","growing tip present","yes/no","Whether growing tip was present; mostly blank in imported sheet"
"data.csv","notes","NA","Free-text notes"

