"file","column","unit","description"
"ysi_daily_log_printable.csv","date","date","Blank printable date field"
"ysi_daily_log_printable.csv","time","clock time","Blank printable time field"
"ysi_daily_log_printable.csv","tank","NA","Pre-filled tank number"
"ysi_daily_log_printable.csv","TEMP","F","Blank YSI temperature field"
"ysi_daily_log_printable.csv","DO %","percent saturation","Blank dissolved oxygen percent field"
"ysi_daily_log_printable.csv","DO mg/L","mg/L","Blank dissolved oxygen concentration field"
"ysi_daily_log_printable.csv","SAL","psu","Blank salinity field"
"ysi_daily_log_printable.csv","PH","pH","Blank pH field"
"pam_log_printable.csv","location","NA","Pre-filled PAM location, top or bottom"
"pam_log_printable.csv","F","instrument unit","Blank PAM F field"
"pam_log_printable.csv","M","instrument unit","Blank PAM M field"
"pam_log_printable.csv","Y","instrument unit","Blank PAM Y field"
"pam_log_printable.csv","E","instrument unit","Blank PAM E field"
"color_card_log_printable.csv","health_status","NA","Blank health-status field"
"color_card_log_printable.csv","color","D-scale","Blank CoralWatch color-card score"
"color_card_log_printable.csv","paling","yes/no","Blank paling field"
"daily_health_log_printable.csv","health_status","NA","Blank health-status field"
"daily_health_log_printable.csv","polyps out","yes/no","Blank polyp-extension field"
"daily_health_log_printable.csv","algae (Y/N)","yes/no","Blank algae-presence field"
"daily_health_log_printable.csv","growing tip (Y/N)","yes/no","Blank growing-tip field"

