thicket,source_label,mean_28C,mean_31C,se_28C,se_31C,n_28C,n_31C,ambient_growth_pct,heated_growth_pct,growth_heat_drop_pct,growth_heat_drop_se,interpretation
a,A,6.62050687114322,4.024731338806946,0.6414902006694644,0.5339978289527605,8,8,6.62050687114322,4.024731338806946,2.5957755323362735,0.8346636201975088,"higher growth at 28 °C, larger heat drop"
c,C,5.344006188146368,4.460179843660568,0.46633889251237304,0.30383069774129073,8,8,5.344006188146368,4.460179843660568,0.8838263444857999,0.5565833770062004,"lower growth at 28 °C, smaller heat drop"
d,D,6.3482414153737,3.615408965911404,0.6436939628098329,0.33481419502024506,8,8,6.3482414153737,3.615408965911404,2.7328324494622955,0.7255635485227199,"higher growth at 28 °C, larger heat drop"
