id,treatment,thicket,tank,n_scored_days,n_use_photo_days,prop_use_photo_days,first_use_photo_day,last_use_photo_day,notes_with_flags
10,28C,a,6,16,16,1,0,15,"no rfp, slight gfp? | center polyp clearly visible, no gfp/rfp | maybe tip extension"
11,28C,a,6,16,16,1,0,15,"no rfp, no gfp | Same as D1, tissue over wound with zooxanthellae in tissue, thicker tissue | center polyp clearly visible, no gfp/rfp | maybe tip extension"
12,28C,a,9,16,16,1,0,15,"no rfp, no gfp | center polyp clearly visible, no gfp/rfp | coloration | maybe tip extension"
13,28C,a,9,16,16,1,0,15,"no rfp, no gfp; good angle | center polyp clearly visible, no gfp/rfp | coloration"
9,28C,c,6,16,16,1,0,15,"slight rfp? no gfp; good angle | Same as D1, tissue over wound with zooxanthellae with thicker tissue | center polyp clearly visible, no gfp/rfp | maybe tip extension"
1,31C,a,4,16,16,1,0,15,"no rfp, slight gfp? good angle | Polyp in hole? | great pic, no gfp/rfp | coloration | maybe tip extension | paling"
7,31C,c,5,16,16,1,0,15,"slight rfp? no gfp | center polyp clearly visible, no gfp/rfp | slight paling"
14,28C,c,6,16,0,0,NA,NA,"no rfp, no gfp | center polyp clearly visible, no gfp/rfp"
15,28C,c,9,16,0,0,NA,NA,"no rfp, no gfp; good angle | Beginning to see pattern of hole in center tissue | looks like polyp visible since D2, otherwise center polyp clearly visible, no gfp/rfp"
16,28C,c,9,16,0,0,NA,NA,"slight rfp? no gfp | center polyp clearly visible, no gfp/rfp"
2,31C,a,4,16,0,0,NA,NA,"slight rfp? slight gfp? | center polyp clearly visible, no gfp/rfp, more colored on wound than others | coloration | maybe tip extension | paling | paling, broken? re-glued?"
3,31C,a,5,16,0,0,NA,NA,"slight rfp, slight gfp? | Polyp in hole? | colored on wound, good pic! no gfp/rfp | coloration | maybe tip extension | paling"
4,31C,a,5,16,0,0,NA,NA,"slight rfp? slight gfp? good angle | center polyp clearly visible, no gfp/rfp, more colored on wound than others | coloration | paling"
5,31C,c,4,16,0,0,NA,NA,"slight rfp? no gfp; good angle | Polyp in hole? | hard to align, no gfp/rfp | slight paling"
6,31C,c,4,16,0,0,NA,NA,"no rfp, no gfp | Polyp in hole? | polyp already visible since D2, great pic! | slight paling"
8,31C,c,5,16,0,0,NA,NA,"slight rfp? no gfp; good angle | center polyp clearly visible, no gfp/rfp | no paling"
