treatment,mean_gap,se,n_tanks,lower,upper
28C,-0.012444444444444449,0.004442490890102307,4,-0.026582433163907068,0.0016935442750181696
31C,-0.021354166666666664,0.003838133987388148,4,-0.0335688219940139,-0.009139511339319428
