model,analysis_type,event,n,n_event,n_nonevent,estimate,lower_ci,upper_ci,p_value,estimate_scale,tradeoff_direction,diagnostic_figure
lm_growth_by_new_corallites_all_wounded,growth endpoint,new corallites by Day 15,24,16,8,1.0124014678806739,-0.8551665348458863,2.879969470607234,0.27064666764737233,percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_new_corallites_all_wounded_lm_diagnostics.png
lm_growth_by_new_corallites_heated_wounded,growth endpoint,new corallites by Day 15,12,4,8,-0.21731782704580413,-1.0576078197427183,0.62297216565111,0.5674065845313265,percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_new_corallites_heated_wounded_lm_diagnostics.png
lm_growth_by_tip_extension_all_wounded,growth endpoint,tip extension by Day 15,24,20,4,1.1597896335519235,-0.3255276365596045,2.645106903663452,0.11865436085462792,percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_tip_extension_all_wounded_lm_diagnostics.png
lm_growth_by_tip_extension_heated_wounded,growth endpoint,tip extension by Day 15,12,9,3,0.5344219824013304,-0.13061964408840276,1.1994636088910635,0.10099713635056518,percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lm_growth_by_tip_extension_heated_wounded_lm_diagnostics.png
brglm_new_corallites_by_growth_all_wounded,regeneration endpoint,new corallites by Day 15,24,16,8,1.9257465606486437,0.2467350902782248,15.03028941553583,0.5319166970834912,odds ratio for event per 1 SD higher growth,odds ratio below 1 would support slower/lower regeneration in faster-growing fragments,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_new_corallites_by_growth_all_wounded_brglm_dharma.png
brglm_new_corallites_by_growth_heated_wounded,regeneration endpoint,new corallites by Day 15,12,4,8,0.35601767589214783,0.015585115858953169,8.132668803667134,0.5176410507734303,odds ratio for event per 1 SD higher growth,odds ratio below 1 would support slower/lower regeneration in faster-growing fragments,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_new_corallites_by_growth_heated_wounded_brglm_dharma.png
brglm_tip_extension_by_growth_all_wounded,regeneration endpoint,tip extension by Day 15,24,20,4,2.897517660932677,0.6094915939918353,13.77477339831735,0.18106481676071426,odds ratio for event per 1 SD higher growth,odds ratio below 1 would support slower/lower regeneration in faster-growing fragments,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_tip_extension_by_growth_all_wounded_brglm_dharma.png
brglm_tip_extension_by_growth_heated_wounded,regeneration endpoint,tip extension by Day 15,12,9,3,4.510897470978342,0.22295399678480954,91.2663432237927,0.3261779382560186,odds ratio for event per 1 SD higher growth,odds ratio below 1 would support slower/lower regeneration in faster-growing fragments,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_tip_extension_by_growth_heated_wounded_brglm_dharma.png
exact_permutation_growth_difference_heated_new_corallites_by_day_15,heated-only exact permutation,new corallites by Day 15,NA,4,8,0.5661600075333659,NA,NA,0.19595959595959597,raw percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,NA
exact_permutation_growth_difference_heated_tip_extension_by_day_15,heated-only exact permutation,tip extension by Day 15,NA,9,3,0.9776597436912446,NA,NA,0.04090909090909091,raw percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,NA
