scope,estimate_heated_minus_ambient,lower,upper,p_exact,n_tanks
top,-0.12429166666666669,-0.2029115182575746,-0.04567181507575875,0.02857142857142857,8
bottom,-0.09695833333333334,-0.14246877986549347,-0.051447886801173216,0.02857142857142857,8
average,-0.110625,-0.17222812677026295,-0.04902187322973708,0.02857142857142857,8
