treatment,n_tanks,n_tank_days,mean_c,min_daily_c,max_daily_c,min_hours
28C,4,64,27.77562572337963,27.349151234567902,28.098765432098766,24
31C,4,64,30.865535783179013,30.37962962962963,31.20023148148148,24
