model,analysis_type,event,n,n_event,n_nonevent,estimate,lower_ci,upper_ci,p_value,estimate_scale,tradeoff_direction,diagnostic_figure
cloglog_transition_wound_smoothed_growth,discrete-time transition,wound smoothing,106,24,82,1.076398627461972,0.46012622014332455,2.518078636859935,0.8651809214839065,daily transition hazard ratio per 1 SD higher growth; cluster-robust standard error by fragment ID,hazard ratio below 1 would support slower regeneration in faster-growing fragments,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_binned.png
cloglog_transition_tip_extension_growth,discrete-time transition,tip extension,221,22,199,1.2317005682985402,0.6417303415369797,2.3640557283195327,0.5310061781015143,daily transition hazard ratio per 1 SD higher growth; cluster-robust standard error by fragment ID,hazard ratio below 1 would support slower regeneration in faster-growing fragments,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_binned.png
cloglog_transition_new_corallites_on_tip_growth,discrete-time transition,new corallites,325,16,309,1.5711401104441687,0.714223860319453,3.4561730345194994,0.2613372811837584,daily transition hazard ratio per 1 SD higher growth; cluster-robust standard error by fragment ID,hazard ratio below 1 would support slower regeneration in faster-growing fragments,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_binned.png
