date,tank,probe,value_mean,value_sd,n,n_hours,day,treatment
2025-06-04,3,Temp3,28.098765432098766,0.17024701907101353,144,24,0,28C
2025-06-04,4,Temp4,30.935185185185187,0.15309971730713118,144,24,0,31C
2025-06-04,5,Temp5,31.096836419753085,0.15516469484118045,144,24,0,31C
2025-06-04,6,Temp6,27.876929012345677,0.14752310437098137,144,24,0,28C
2025-06-04,9,Temp9,27.765046296296298,0.16223301871449872,144,24,0,28C
2025-06-04,10,Temp10,31.19212962962963,0.10971834944430596,144,24,0,31C
2025-06-04,11,Temp11,30.94868827160494,0.14633569427438087,144,24,0,31C
2025-06-04,12,Temp12,27.83101851851852,0.20816815518705298,144,24,0,28C
2025-06-05,3,Temp3,28.089891975308642,0.16240292430798198,144,24,1,28C
2025-06-05,4,Temp4,30.93402777777778,0.14981768972212045,144,24,1,31C
2025-06-05,5,Temp5,30.96682098765432,0.19615128810991722,144,24,1,31C
2025-06-05,6,Temp6,27.62847222222222,0.2641545712002176,144,24,1,28C
2025-06-05,9,Temp9,27.552083333333332,0.381815952816391,144,24,1,28C
2025-06-05,10,Temp10,30.920524691358025,0.29276970008553044,144,24,1,31C
2025-06-05,11,Temp11,30.554783950617285,0.21136921521335153,144,24,1,31C
2025-06-05,12,Temp12,27.699845679012345,0.22866717073917817,144,24,1,28C
2025-06-06,3,Temp3,28.091049382716047,0.1761251751351114,144,24,2,28C
2025-06-06,4,Temp4,30.86844135802469,0.22024631731506353,144,24,2,31C
2025-06-06,5,Temp5,30.69097222222222,0.17066161988094605,144,24,2,31C
2025-06-06,6,Temp6,27.667824074074076,0.23729648968738964,144,24,2,28C
2025-06-06,9,Temp9,27.540895061728396,0.22578592687672341,144,24,2,28C
2025-06-06,10,Temp10,31.20023148148148,0.1130786842356041,144,24,2,31C
2025-06-06,11,Temp11,30.83371913580247,0.1582975842325645,144,24,2,31C
2025-06-06,12,Temp12,27.576774691358025,0.1646467245072053,144,24,2,28C
2025-06-07,3,Temp3,28.07908950617284,0.16835198943589064,144,24,3,28C
2025-06-07,4,Temp4,30.878086419753085,0.21068309961039247,144,24,3,31C
2025-06-07,5,Temp5,31.048225308641975,0.18885535236105477,144,24,3,31C
2025-06-07,6,Temp6,27.646604938271604,0.3259087078402709,144,24,3,28C
2025-06-07,9,Temp9,27.498456790123456,0.3477797044144099,144,24,3,28C
2025-06-07,10,Temp10,31.11574074074074,0.12317913178144999,144,24,3,31C
2025-06-07,11,Temp11,30.692515432098766,0.3457236937474652,144,24,3,31C
2025-06-07,12,Temp12,27.65972222222222,0.30042668726806093,144,24,3,28C
