model,id,treatment,thicket,pct_growth,event_status,cooks_distance,cooks_threshold,flagged
lm_growth_by_new_corallites_all_wounded,129,28C,c,2.771803270813767,yes,0.2647157647296219,0.16666666666666666,TRUE
lm_growth_by_new_corallites_all_wounded,175,31C,a,2.668216197914724,no,0.04966067691545604,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,149,31C,d,3.4057234862932484,yes,0.22441395771527098,0.16666666666666666,TRUE
lm_growth_by_new_corallites_all_wounded,121,28C,c,4.648325454303104,yes,0.027968437322274643,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,143,31C,d,3.453773772224109,no,0.0016870502245091127,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,115,31C,c,4.489527323353529,yes,0.006639280551712587,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,174,31C,a,3.6010396776230116,no,0.0030530029624593904,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,113,28C,d,3.761862441568305,yes,0.1548205618034646,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,110,31C,d,3.4129230353156794,no,0.002423317060861834,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,126,31C,d,3.4036166126762666,no,0.0026096451595030287,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,170,31C,a,3.8549361153135693,no,9.29004524258974e-5,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,119,31C,c,4.640235101543025,yes,0.014026265995365165,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,116,31C,c,4.996196180964925,no,0.26501730873015317,0.16666666666666666,TRUE
lm_growth_by_new_corallites_all_wounded,133,31C,c,4.608062117059705,yes,0.012220046141049304,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,117,28C,c,5.0948772445448745,yes,0.007157016278744195,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,152,31C,a,4.367114404199804,no,0.0067865301480862245,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,130,28C,c,6.575445735984332,yes,0.035869961649391206,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,172,28C,a,5.851091397541983,yes,0.006971077954445101,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,177,28C,a,6.278958365877883,yes,4.3845854396476553e-05,0.16666666666666666,FALSE
lm_growth_by_new_corallites_all_wounded,166,28C,a,6.734446431734614,yes,0.005656874707479564,0.16666666666666666,FALSE
