prelim_snp_cluster,n_samples,source_thickets,n_source_thickets,median_cov_million,min_cov_million,max_cov_million,n_below_5m,n_below_10m,pct_below_10m
1,48,C,1,14.701170964000001,7.91216598699998,26.924025989,0,3,0.0625
2,17,D,1,15.41524299,8.151538982,22.9919969850001,0,2,0.11764705882352941
3,16,D,1,15.041163451500001,4.16530602,21.337653965999902,1,1,0.0625
4,52,A/D,2,15.929587017500001,1.74762399900001,22.5958749959999,2,6,0.11538461538461539
5,7,A/D,2,15.855944017999999,8.93260402300003,21.018055993,0,1,0.14285714285714285
6,2,A,1,12.834851995500046,9.35039600299999,16.3193079880001,0,1,0.5
7,1,A,1,8.993183031,8.993183031,8.993183031,0,1,1
8,1,D,1,18.355276989,18.355276989,18.355276989,0,0,0
