model,analysis_type,event,n,n_event,n_nonevent,estimate,lower_ci,upper_ci,p_value,estimate_scale,tradeoff_direction,diagnostic_figure
lmrob_growth_by_new_corallites_all_wounded,robust growth endpoint,new corallites by Day 15,24,16,8,0.9170375665045237,-0.9469866732467499,2.7810618062557975,0.31608251899178025,robust percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_new_corallites_all_wounded_lmrob_diagnostics.png
lmrob_growth_by_new_corallites_heated_wounded,robust growth endpoint,new corallites by Day 15,12,4,8,-0.21731782704580413,-0.7319664543514656,0.29733080025985725,0.3587030179445868,robust percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_new_corallites_heated_wounded_lmrob_diagnostics.png
lmrob_growth_by_tip_extension_all_wounded,robust growth endpoint,tip extension by Day 15,24,20,4,1.2614067655985242,0.09009591232132119,2.432717618875727,0.03619641856621975,robust percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_tip_extension_all_wounded_lmrob_diagnostics.png
lmrob_growth_by_tip_extension_heated_wounded,robust growth endpoint,tip extension by Day 15,12,9,3,0.49155441451148657,-0.21548014561568646,1.1985889746386595,0.14755540294887487,robust percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/lmrob_growth_by_tip_extension_heated_wounded_lmrob_diagnostics.png
