model,analysis_type,event,n,n_event,n_nonevent,estimate,lower_ci,upper_ci,p_value,estimate_scale,tradeoff_direction,diagnostic_figure
cox_wound_smoothed_growth,time to regeneration,wound smoothing,24,24,0,1.0246604316345904,0.5415255244470895,1.9388356647262155,0.9403173438122494,hazard ratio for event per 1 SD higher growth,hazard ratio below 1 would support slower regeneration in faster-growing fragments,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_wound_smoothed_growth_cox_zph.png
cox_tip_extension_growth,time to regeneration,tip extension,24,22,2,1.0552866602640953,0.5667590037678,1.9649091199750928,0.8652723359293655,hazard ratio for event per 1 SD higher growth,hazard ratio below 1 would support slower regeneration in faster-growing fragments,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_tip_extension_growth_cox_zph.png
cox_new_corallites_on_tip_growth,time to regeneration,new corallites,24,16,8,1.2073967163604922,0.5943750026807916,2.4526718386590898,0.602220280634965,hazard ratio for event per 1 SD higher growth,hazard ratio below 1 would support slower regeneration in faster-growing fragments,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cox_new_corallites_on_tip_growth_cox_zph.png
