library_id,id,treatment,wound,source_thicket,tank,day,plate,symbiont_cells_per_cm2,source_mean_heat_sensitivity,source_pca_displacement,source_resilience_rank,prelim_snp_sample_label,prelim_snp_library_id,prelim_snp_pc1,prelim_snp_pc2,prelim_snp_pc3,prelim_snp_pc4,prelim_snp_source_thicket,prelim_snp_cov,prelim_snp_cov_million,prelim_snp_coverage_band,prelim_snp_lowest_decile_cov,prelim_snp_cluster,prelim_snp_cluster_analysis,source_label,day_f
28C_T12_A_D3_U_id190,190,28C,no,a,12,3,1,1405553.2385871485,0.565,3.71,3,190_wound_D3,190_W_D3_S67_L005,-0.102889298305558,0.0546141894195636,-0.0159159182330046,-0.00661990473026019,a,10208843.024,10.208843024,>=10M,FALSE,4,cluster 4,A,3
28C_T12_A_D3_W_id167,167,28C,yes,a,12,3,1,869027.7454937345,0.565,3.71,3,167_wound_D3,167_W_D3_S70_L005,-0.0568225419179849,0.0283659529226765,-0.0103910000073219,-0.003179507557741,a,14298056.021,14.298056020999999,>=10M,FALSE,4,cluster 4,A,3
28C_T12_C_D3_U_id273,273,28C,no,c,12,3,1,504715.1312036509,0.007,1.022,1,273_wound_D3,273_W_D3_S69_L005,0.0165196800311932,-0.0999793424310368,-0.0331841432880349,3.83599138429137e-5,c,17618918.012,17.618918011999998,>=10M,FALSE,1,cluster 1,C,3
28C_T12_C_D3_W_id301,301,28C,yes,c,12,3,1,769555.5047404618,0.007,1.022,1,301_wound_D3,301_W_D3_S72_L005,0.0170572622758409,-0.110266800115833,-0.037198643589186,0.00115391374270152,c,11575311.956,11.575311956,>=10M,FALSE,1,cluster 1,C,3
28C_T12_D_D10_U_id202,202,28C,no,d,12,10,1,819730.7401581238,0.43,3.382,2,202_wound_D10,202_W_D10_S116_L005,0.15101457337036,0.119637506855121,-0.101271891519473,-0.0414273449534921,d,18999401.992,18.999401992,>=10M,FALSE,3,cluster 3,D,10
28C_T12_D_D10_W_id243,243,28C,yes,d,12,10,1,1062774.0253584548,0.43,3.382,2,243_wound_D10,243_W_D10_S119_L005,0.055552323639595703,0.00626877980803227,0.192976049493538,-0.107018563480737,d,15370683.008,15.370683008,>=10M,FALSE,2,cluster 2,D,10
28C_T12_D_D1_U_id234,234,28C,no,d,12,1,1,1220120.3710018415,0.43,3.382,2,234_wound_D1,234_W_D1_S20_L005,0.062187429052768,0.0102826452254553,0.230535588210346,-0.134707798673105,d,15415242.99,15.41524299,>=10M,FALSE,2,cluster 2,D,1
28C_T12_D_D1_W_id231,231,28C,yes,d,12,1,1,1216210.1007663067,0.43,3.382,2,231_wound_D1,231_W_D1_S23_L005,-0.0947967754781686,0.0498736817173737,-0.01360212269352,-0.00596787972656064,d,22595874.9959999,22.5958749959999,>=10M,FALSE,4,cluster 4,D,1
28C_T3_A_D10_U_id114,114,28C,no,a,3,10,1,678261.3324500804,0.565,3.71,3,114_wound_D10,114_W_D10_S97_L005,-0.0949646262493868,0.0502726040392878,-0.0136418143213537,-0.0056749982446289,a,20020916.009,20.020916009,>=10M,FALSE,4,cluster 4,A,10
28C_T3_A_D10_W_id191,191,28C,yes,a,3,10,1,896574.8345881816,0.565,3.71,3,191_wound_D10,191_W_D10_S100_L005,-0.0946927020048696,0.0494264382340746,-0.0137372225753583,-0.0059631002154351,a,21107194.0329999,21.1071940329999,>=10M,FALSE,4,cluster 4,A,10
28C_T3_A_D1_U_id111,111,28C,no,a,3,1,1,1188718.0478109643,0.565,3.71,3,111_wound_D1,111_W_D1_S1_L005,-0.100969750440724,0.0542824818457108,-0.0149793317967042,-0.00656034250406282,a,15750490.027,15.750490027000001,>=10M,FALSE,4,cluster 4,A,1
28C_T3_A_D1_W_id209,209,28C,yes,a,3,1,1,628782.3927998758,0.565,3.71,3,209_wound_D1,209_W_D1_S5_L005,-0.0953154658063196,0.0503983803747689,-0.0142192913246832,-0.00681236084426535,a,20643056.984,20.643056984,>=10M,FALSE,4,cluster 4,A,1
28C_T3_C_D10_U_id279,279,28C,no,c,3,10,1,736847.399657982,0.007,1.022,1,279_wound_D10,279_W_D10_S99_L005,0.0178957310030598,-0.104962691479703,-0.0341550817337301,7.94866599631424e-5,c,16677525.99,16.67752599,>=10M,FALSE,1,cluster 1,C,10
28C_T3_C_D10_W_id291,291,28C,yes,c,3,10,1,900813.4077503647,0.007,1.022,1,291_wound_D10,291_W_D10_S102_L005,0.0167225150591826,-0.099024027189688,-0.0318375532276579,-4.64541815304006e-5,c,24264338.002,24.264338002,>=10M,FALSE,1,cluster 1,C,10
28C_T3_C_D1_U_id298,298,28C,no,c,3,1,1,1657602.2544707526,0.007,1.022,1,298_wound_D1,298_W_D1_S3_L005,0.0179660950714493,-0.107214919879444,-0.0351230444968042,2.4681273584496e-4,c,15817966.006,15.817966005999999,>=10M,FALSE,1,cluster 1,C,1
28C_T3_C_D1_W_id296,296,28C,yes,c,3,1,1,998299.193965836,0.007,1.022,1,296_wound_D1,296_W_D1_S6_L005,0.0169688723645536,-0.0999882268774105,-0.032501133299046,6.68045877494543e-5,c,23004871.965,23.004871965,>=10M,FALSE,1,cluster 1,C,1
28C_T3_D_D3_U_id242,242,28C,no,d,3,3,1,1018496.791233738,0.43,3.382,2,242_wound_D3,242_W_D3_S50_L005,0.0543680088605112,0.00787678410588327,0.197194142296661,-0.109249100764224,d,9296490.96299997,9.29649096299997,5-10M,TRUE,2,cluster 2,D,3
28C_T3_D_D3_W_id247,247,28C,yes,d,3,3,1,833706.2341744521,0.43,3.382,2,247_wound_D3,247_W_D3_S53_L005,0.162419308303221,0.130246643825845,-0.113429788182271,-0.0477709605082074,d,12970732.995,12.970732994999999,>=10M,FALSE,3,cluster 3,D,3
28C_T6_A_D3_U_id194,194,28C,no,a,6,3,1,1261179.815602054,0.565,3.71,3,194_wound_D3,194_W_D3_S55_L005,-0.101271268054802,0.0539054567579402,-0.0140572353120065,-0.00584463649446173,a,11951380.978,11.951380978,>=10M,FALSE,4,cluster 4,A,3
