result_family,model,event,n_event,n_nonevent,estimate,lower_ci,upper_ci,p_value,estimate_scale,tradeoff_direction,plain_language
same-fragment endpoint,lm_growth_by_new_corallites_heated_wounded,new corallites by Day 15,4,8,-0.21731782704580413,-1.0576078197427183,0.62297216565111,0.5674065845313265,percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,adjusted estimate is slightly negative but too uncertain to support a growth cost
same-fragment endpoint,lm_growth_by_tip_extension_heated_wounded,tip extension by Day 15,9,3,0.5344219824013304,-0.13061964408840276,1.1994636088910635,0.10099713635056518,percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,fragments with regeneration did not have lower growth
same-fragment endpoint,brglm_new_corallites_by_growth_heated_wounded,new corallites by Day 15,4,8,0.35601767589214783,0.015585115858953169,8.132668803667134,0.5176410507734303,odds ratio for event per 1 SD higher growth,odds ratio below 1 would support slower/lower regeneration in faster-growing fragments,no clear relationship between growth and regeneration odds
same-fragment endpoint,brglm_tip_extension_by_growth_heated_wounded,tip extension by Day 15,9,3,4.510897470978342,0.22295399678480954,91.2663432237927,0.3261779382560186,odds ratio for event per 1 SD higher growth,odds ratio below 1 would support slower/lower regeneration in faster-growing fragments,no clear relationship between growth and regeneration odds
same-fragment endpoint,exact_permutation_growth_difference_heated_new_corallites_by_day_15,new corallites by Day 15,4,8,0.5661600075333659,NA,NA,0.19595959595959597,raw percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,raw heated-only difference does not point toward a growth cost
same-fragment endpoint,exact_permutation_growth_difference_heated_tip_extension_by_day_15,tip extension by Day 15,9,3,0.9776597436912446,NA,NA,0.04090909090909091,raw percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,raw heated-only difference does not point toward a growth cost
same-fragment robust endpoint,lmrob_growth_by_new_corallites_heated_wounded,new corallites by Day 15,4,8,-0.21731782704580413,-0.7319664543514656,0.29733080025985725,0.3587030179445868,robust percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,robust estimate is slightly negative but too uncertain to support a growth cost
same-fragment robust endpoint,lmrob_growth_by_tip_extension_heated_wounded,tip extension by Day 15,9,3,0.49155441451148657,-0.21548014561568646,1.1985889746386595,0.14755540294887487,robust percentage-point growth difference: event yes minus no,negative estimate would support a growth cost of regeneration,robust model does not show lower growth in regenerating fragments
same-fragment timing,cox_wound_smoothed_growth,wound smoothing,24,0,1.0246604316345904,0.5415255244470895,1.9388356647262155,0.9403173438122494,hazard ratio for event per 1 SD higher growth,hazard ratio below 1 would support slower regeneration in faster-growing fragments,higher-growth fragments did not reach the stage more slowly
same-fragment timing,cox_tip_extension_growth,tip extension,22,2,1.0552866602640953,0.5667590037678,1.9649091199750928,0.8652723359293655,hazard ratio for event per 1 SD higher growth,hazard ratio below 1 would support slower regeneration in faster-growing fragments,higher-growth fragments did not reach the stage more slowly
same-fragment timing,cox_new_corallites_on_tip_growth,new corallites,16,8,1.2073967163604922,0.5943750026807916,2.4526718386590898,0.602220280634965,hazard ratio for event per 1 SD higher growth,hazard ratio below 1 would support slower regeneration in faster-growing fragments,higher-growth fragments did not reach the stage more slowly
same-fragment daily transition,cloglog_transition_wound_smoothed_growth,wound smoothing,24,82,1.076398627461972,0.46012622014332455,2.518078636859935,0.8651809214839065,daily transition hazard ratio per 1 SD higher growth; cluster-robust standard error by fragment ID,hazard ratio below 1 would support slower regeneration in faster-growing fragments,daily transition model does not show slower regeneration in faster-growing fragments
same-fragment daily transition,cloglog_transition_tip_extension_growth,tip extension,22,199,1.2317005682985402,0.6417303415369797,2.3640557283195327,0.5310061781015143,daily transition hazard ratio per 1 SD higher growth; cluster-robust standard error by fragment ID,hazard ratio below 1 would support slower regeneration in faster-growing fragments,daily transition model does not show slower regeneration in faster-growing fragments
same-fragment daily transition,cloglog_transition_new_corallites_on_tip_growth,new corallites,16,309,1.5711401104441687,0.714223860319453,3.4561730345194994,0.2613372811837584,daily transition hazard ratio per 1 SD higher growth; cluster-robust standard error by fragment ID,hazard ratio below 1 would support slower regeneration in faster-growing fragments,daily transition model does not show slower regeneration in faster-growing fragments
source-patch screen,ambient growth vs growth heat drop,growth lost under heat,NA,NA,1.4766669865144253,-1.267806146895071,4.331235083203652,NA,source-level slope; descriptive only,expected slope direction: positive,possible source-level growth/heat-tolerance trade-off
source-patch screen,ambient growth vs non-growth heat penalty,heat penalty excluding growth,NA,NA,0.5854888013019446,-0.2716015456610866,1.2933548080361628,NA,source-level slope; descriptive only,expected slope direction: positive,possible source-level growth/heat-tolerance trade-off
source-patch screen,ambient growth vs heated new corallites,new corallites under heat,NA,NA,-56.32446814900085,-116.63152693484521,41.44950340206151,NA,source-level slope; descriptive only,expected slope direction: negative,little support for expected trade-off direction
source-patch screen,ambient growth vs heated tip extension,tip extension under heat,NA,NA,-27.771266249018385,-83.74064911195796,39.755695214992926,NA,source-level slope; descriptive only,expected slope direction: negative,little support for expected trade-off direction
source-patch screen,growth heat drop vs heated new corallites,new corallites under heat,NA,NA,-34.14057153940648,-76.65973822415764,12.270365476357014,NA,source-level slope; descriptive only,expected slope direction: positive,pattern is opposite the expected trade-off direction
source-patch screen,non-regeneration heat penalty vs heated new corallites,new corallites under heat,NA,NA,-94.5561046647027,-143.0302868076027,-4.088589521010893,NA,source-level slope; descriptive only,expected slope direction: positive,pattern is opposite the expected trade-off direction
source-patch screen,non-regeneration heat penalty vs heated tip extension,tip extension under heat,NA,NA,-52.79170158144269,-102.00124595971943,20.19976870392479,NA,source-level slope; descriptive only,expected slope direction: positive,pattern is opposite the expected trade-off direction
