id,tank,treatment,wound,thicket,day,top,bottom,gap,average
162,3,28C,no,a,-1,0.641,0.665,-0.02400000000000002,0.653
172,3,28C,yes,a,-1,0.65,0.663,-0.013000000000000012,0.6565000000000001
129,3,28C,yes,c,-1,0.647,0.662,-0.015000000000000013,0.6545000000000001
139,3,28C,no,c,-1,0.684,0.681,0.0030000000000000027,0.6825000000000001
113,3,28C,yes,d,-1,0.64,0.639,0.0010000000000000009,0.6395
156,3,28C,no,d,-1,0.649,0.669,-0.020000000000000018,0.659
169,6,28C,no,a,-1,0.686,0.643,0.04300000000000004,0.6645000000000001
179,6,28C,yes,a,-1,0.651,0.641,0.010000000000000009,0.646
117,6,28C,yes,c,-1,0.669,0.69,-0.020999999999999908,0.6795
123,6,28C,no,c,-1,0.761,0.688,0.07300000000000006,0.7244999999999999
145,6,28C,no,d,-1,0.669,0.729,-0.05999999999999994,0.6990000000000001
146,6,28C,yes,d,-1,0.636,0.656,-0.020000000000000018,0.646
166,9,28C,yes,a,-1,0.672,0.696,-0.02399999999999991,0.6839999999999999
173,9,28C,no,a,-1,0.704,0.655,0.04899999999999993,0.6795
121,9,28C,yes,c,-1,0.704,0.689,0.015000000000000013,0.6964999999999999
131,9,28C,no,c,-1,0.631,0.72,-0.08899999999999997,0.6755
118,9,28C,yes,d,-1,0.669,0.656,0.013000000000000012,0.6625000000000001
122,9,28C,no,d,-1,0.63,0.679,-0.049000000000000044,0.6545000000000001
176,12,28C,no,a,-1,0.694,0.68,0.013999999999999901,0.687
177,12,28C,yes,a,-1,0.637,0.681,-0.04400000000000004,0.659
125,12,28C,no,c,-1,0.681,0.712,-0.030999999999999917,0.6965
130,12,28C,yes,c,-1,0.675,0.694,-0.018999999999999906,0.6845
144,12,28C,yes,d,-1,0.673,0.683,-0.010000000000000009,0.678
147,12,28C,no,d,-1,0.659,0.683,-0.02400000000000002,0.671
152,4,31C,yes,a,-1,0.655,0.67,-0.015000000000000013,0.6625000000000001
165,4,31C,no,a,-1,0.677,0.671,0.006000000000000005,0.674
133,4,31C,yes,c,-1,0.679,0.687,-0.008000000000000007,0.683
141,4,31C,no,c,-1,0.685,0.659,0.026000000000000023,0.672
143,4,31C,yes,d,-1,0.688,0.666,0.02199999999999991,0.677
150,4,31C,no,d,-1,0.475,0.649,-0.17400000000000004,0.562
161,5,31C,no,a,-1,0.626,0.648,-0.02200000000000002,0.637
170,5,31C,yes,a,-1,0.618,0.641,-0.02300000000000002,0.6295
115,5,31C,yes,c,-1,0.694,0.661,0.03299999999999992,0.6775
124,5,31C,no,c,-1,0.69,0.647,0.04299999999999993,0.6685
126,5,31C,yes,d,-1,0.59,0.705,-0.11499999999999999,0.6475
154,5,31C,no,d,-1,0.546,0.651,-0.10499999999999998,0.5985
175,10,31C,yes,a,-1,0.634,0.663,-0.029000000000000026,0.6485000000000001
178,10,31C,no,a,-1,0.576,0.743,-0.16700000000000004,0.6595
119,10,31C,no,c,-1,0.636,0.684,-0.04800000000000004,0.66
132,10,31C,no,c,-1,0.614,0.678,-0.06400000000000006,0.646
110,10,31C,yes,d,-1,0.604,0.663,-0.05900000000000005,0.6335
120,10,31C,no,d,-1,0.639,0.65,-0.01100000000000001,0.6445000000000001
163,11,31C,no,a,-1,0.666,0.631,0.03500000000000003,0.6485000000000001
174,11,31C,yes,a,-1,0.64,0.665,-0.025000000000000022,0.6525000000000001
116,11,31C,yes,c,-1,0.675,0.67,0.0050000000000000044,0.6725000000000001
127,11,31C,no,c,-1,0.686,0.681,0.0050000000000000044,0.6835
128,11,31C,no,d,-1,0.632,0.651,-0.019000000000000017,0.6415
149,11,31C,yes,d,-1,0.665,0.659,0.006000000000000005,0.662
162,3,28C,no,a,0,0.609,0.637,-0.028000000000000025,0.623
172,3,28C,yes,a,0,0.627,0.644,-0.017000000000000015,0.6355
129,3,28C,yes,c,0,0.73,0.701,0.029000000000000026,0.7155
139,3,28C,no,c,0,0.693,0.701,-0.008000000000000007,0.697
113,3,28C,yes,d,0,0.64,0.641,-0.0010000000000000009,0.6405000000000001
156,3,28C,no,d,0,0.684,0.671,0.013000000000000012,0.6775
169,6,28C,no,a,0,0.69,0.679,0.010999999999999899,0.6845
179,6,28C,yes,a,0,0.667,0.657,0.010000000000000009,0.662
117,6,28C,yes,c,0,0.697,0.699,-0.0020000000000000018,0.698
123,6,28C,no,c,0,0.692,0.647,0.04499999999999993,0.6695
145,6,28C,no,d,0,0.676,0.639,0.03700000000000003,0.6575
146,6,28C,yes,d,0,0.687,0.663,0.02400000000000002,0.675
166,9,28C,yes,a,0,0.66,0.684,-0.02400000000000002,0.672
173,9,28C,no,a,0,0.706,0.684,0.02199999999999991,0.6950000000000001
121,9,28C,yes,c,0,0.679,0.684,-0.0050000000000000044,0.6815
131,9,28C,no,c,0,0.668,0.723,-0.05499999999999994,0.6955
118,9,28C,yes,d,0,0.686,0.683,0.0030000000000000027,0.6845000000000001
122,9,28C,no,d,0,0.668,0.688,-0.019999999999999907,0.6779999999999999
176,12,28C,no,a,0,0.647,0.687,-0.040000000000000036,0.667
177,12,28C,yes,a,0,0.682,0.685,-0.0030000000000000027,0.6835
125,12,28C,no,c,0,0.672,0.698,-0.025999999999999912,0.685
130,12,28C,yes,c,0,0.686,0.688,-0.0019999999999998908,0.687
144,12,28C,yes,d,0,0.669,0.625,0.04400000000000004,0.647
147,12,28C,no,d,0,0.624,0.699,-0.07499999999999996,0.6615
152,4,31C,yes,a,0,0.653,0.672,-0.019000000000000017,0.6625000000000001
165,4,31C,no,a,0,0.567,0.68,-0.1130000000000001,0.6234999999999999
133,4,31C,yes,c,0,0.668,0.657,0.01100000000000001,0.6625000000000001
141,4,31C,no,c,0,0.697,0.695,0.0020000000000000018,0.696
143,4,31C,yes,d,0,0.675,0.677,-0.0020000000000000018,0.676
150,4,31C,no,d,0,0.693,0.677,0.015999999999999903,0.685
161,5,31C,no,a,0,0.628,0.667,-0.039000000000000035,0.6475
170,5,31C,yes,a,0,0.668,0.658,0.010000000000000009,0.663
115,5,31C,yes,c,0,0.703,0.703,0,0.703
124,5,31C,no,c,0,0.654,0.683,-0.029000000000000026,0.6685000000000001
126,5,31C,yes,d,0,0.661,0.685,-0.02400000000000002,0.673
154,5,31C,no,d,0,0.665,0.675,-0.010000000000000009,0.67
175,10,31C,yes,a,0,0.713,0.672,0.040999999999999925,0.6925
178,10,31C,no,a,0,0.674,0.665,0.009000000000000008,0.6695
119,10,31C,no,c,0,0.687,0.702,-0.014999999999999902,0.6945
132,10,31C,no,c,0,0.73,0.72,0.010000000000000009,0.725
110,10,31C,yes,d,0,0.684,0.691,-0.006999999999999895,0.6875
120,10,31C,no,d,0,0.655,0.675,-0.020000000000000018,0.665
163,11,31C,no,a,0,0.716,0.706,0.010000000000000009,0.711
174,11,31C,yes,a,0,0.697,0.668,0.028999999999999915,0.6825
116,11,31C,yes,c,0,0.682,0.698,-0.015999999999999903,0.69
127,11,31C,no,c,0,0.686,0.698,-0.0119999999999999,0.692
128,11,31C,no,d,0,0.676,0.672,0.0040000000000000036,0.674
149,11,31C,yes,d,0,0.7,0.679,0.020999999999999908,0.6895
162,3,28C,no,a,3,0.656,0.663,-0.007000000000000006,0.6595
172,3,28C,yes,a,3,0.656,0.653,0.0030000000000000027,0.6545000000000001
129,3,28C,yes,c,3,0.683,0.69,-0.006999999999999895,0.6865
139,3,28C,no,c,3,0.68,0.689,-0.008999999999999897,0.6845
113,3,28C,yes,d,3,0.627,0.657,-0.030000000000000027,0.642
156,3,28C,no,d,3,0.628,0.693,-0.06499999999999995,0.6605
169,6,28C,no,a,3,0.693,0.657,0.03599999999999992,0.675
179,6,28C,yes,a,3,0.721,0.685,0.03599999999999992,0.7030000000000001
117,6,28C,yes,c,3,0.678,0.697,-0.018999999999999906,0.6875
123,6,28C,no,c,3,0.693,0.701,-0.008000000000000007,0.697
145,6,28C,no,d,3,0.682,0.692,-0.009999999999999898,0.687
146,6,28C,yes,d,3,0.661,0.668,-0.007000000000000006,0.6645000000000001
166,9,28C,yes,a,3,0.652,0.663,-0.01100000000000001,0.6575
173,9,28C,no,a,3,0.652,0.66,-0.008000000000000007,0.656
121,9,28C,yes,c,3,0.663,0.69,-0.026999999999999913,0.6765
131,9,28C,no,c,3,0.656,0.689,-0.03299999999999992,0.6725
118,9,28C,yes,d,3,0.66,0.675,-0.015000000000000013,0.6675
122,9,28C,no,d,3,0.582,0.656,-0.07400000000000007,0.619
176,12,28C,no,a,3,0.677,0.679,-0.0020000000000000018,0.678
177,12,28C,yes,a,3,0.63,0.669,-0.039000000000000035,0.6495
125,12,28C,no,c,3,0.713,0.714,-0.0010000000000000009,0.7135
130,12,28C,yes,c,3,0.676,0.698,-0.02199999999999991,0.687
144,12,28C,yes,d,3,0.655,0.61,0.04500000000000004,0.6325000000000001
147,12,28C,no,d,3,0.721,0.702,0.019000000000000017,0.7115
152,4,31C,yes,a,3,0.641,0.632,0.009000000000000008,0.6365000000000001
165,4,31C,no,a,3,0.634,0.652,-0.018000000000000016,0.643
133,4,31C,yes,c,3,0.653,0.669,-0.016000000000000014,0.661
141,4,31C,no,c,3,0.619,0.691,-0.07199999999999995,0.655
143,4,31C,yes,d,3,0.613,0.628,-0.015000000000000013,0.6205
150,4,31C,no,d,3,0.639,0.606,0.03300000000000003,0.6225
161,5,31C,no,a,3,0.597,0.628,-0.031000000000000028,0.6125
170,5,31C,yes,a,3,0.645,0.655,-0.010000000000000009,0.65
115,5,31C,yes,c,3,0.528,0.688,-0.15999999999999992,0.608
124,5,31C,no,c,3,0.561,0.687,-0.126,0.6240000000000001
126,5,31C,yes,d,3,0.658,0.708,-0.04999999999999993,0.683
154,5,31C,no,d,3,0.572,0.653,-0.08100000000000007,0.6125
175,10,31C,yes,a,3,0.641,0.62,0.02100000000000002,0.6305000000000001
178,10,31C,no,a,3,0.611,0.641,-0.030000000000000027,0.626
119,10,31C,no,c,3,0.695,0.681,0.013999999999999901,0.688
132,10,31C,no,c,3,0.635,0.701,-0.06599999999999995,0.6679999999999999
110,10,31C,yes,d,3,0.651,0.662,-0.01100000000000001,0.6565000000000001
120,10,31C,no,d,3,0.635,0.621,0.014000000000000012,0.628
163,11,31C,no,a,3,0.654,0.659,-0.0050000000000000044,0.6565000000000001
174,11,31C,yes,a,3,0.644,0.644,0,0.644
116,11,31C,yes,c,3,0.659,0.704,-0.04499999999999993,0.6815
127,11,31C,no,c,3,0.71,0.708,0.0020000000000000018,0.709
128,11,31C,no,d,3,0.656,0.632,0.02400000000000002,0.644
149,11,31C,yes,d,3,0.533,0.694,-0.16099999999999992,0.6134999999999999
162,3,28C,no,a,6,0.709,0.637,0.07199999999999995,0.673
172,3,28C,yes,a,6,0.619,0.636,-0.017000000000000015,0.6275
129,3,28C,yes,c,6,0.674,0.676,-0.0020000000000000018,0.675
139,3,28C,no,c,6,0.689,0.67,0.018999999999999906,0.6795
113,3,28C,yes,d,6,0.662,0.675,-0.013000000000000012,0.6685000000000001
156,3,28C,no,d,6,0.661,0.653,0.008000000000000007,0.657
169,6,28C,no,a,6,0.642,0.64,0.0020000000000000018,0.641
179,6,28C,yes,a,6,0.621,0.66,-0.039000000000000035,0.6405000000000001
117,6,28C,yes,c,6,0.622,0.683,-0.061000000000000054,0.6525000000000001
123,6,28C,no,c,6,0.684,0.68,0.0040000000000000036,0.682
145,6,28C,no,d,6,0.687,0.669,0.018000000000000016,0.678
146,6,28C,yes,d,6,0.596,0.648,-0.052000000000000046,0.622
166,9,28C,yes,a,6,0.704,0.685,0.018999999999999906,0.6945
173,9,28C,no,a,6,0.691,0.681,0.009999999999999898,0.6859999999999999
121,9,28C,yes,c,6,0.707,0.696,0.01100000000000001,0.7015
131,9,28C,no,c,6,0.658,0.684,-0.026000000000000023,0.671
118,9,28C,yes,d,6,0.694,0.686,0.007999999999999896,0.69
122,9,28C,no,d,6,0.692,0.674,0.017999999999999905,0.683
176,12,28C,no,a,6,0.675,0.673,0.0020000000000000018,0.674
177,12,28C,yes,a,6,0.652,0.659,-0.007000000000000006,0.6555
125,12,28C,no,c,6,0.686,0.707,-0.020999999999999908,0.6965
130,12,28C,yes,c,6,0.69,0.669,0.020999999999999908,0.6795
144,12,28C,yes,d,6,0.681,0.704,-0.02299999999999991,0.6925
147,12,28C,no,d,6,0.683,0.698,-0.014999999999999902,0.6905
152,4,31C,yes,a,6,0.648,0.643,0.0050000000000000044,0.6455
165,4,31C,no,a,6,0.659,0.641,0.018000000000000016,0.65
133,4,31C,yes,c,6,0.636,0.667,-0.031000000000000028,0.6515
141,4,31C,no,c,6,0.689,0.69,-0.0010000000000000009,0.6895
143,4,31C,yes,d,6,0.638,0.635,0.0030000000000000027,0.6365000000000001
150,4,31C,no,d,6,0.616,0.622,-0.006000000000000005,0.619
161,5,31C,no,a,6,0.63,0.626,0.0040000000000000036,0.628
170,5,31C,yes,a,6,0.642,0.645,-0.0030000000000000027,0.6435
115,5,31C,yes,c,6,0.678,0.669,0.009000000000000008,0.6735
124,5,31C,no,c,6,0.686,0.635,0.051000000000000045,0.6605000000000001
126,5,31C,yes,d,6,0.595,0.623,-0.028000000000000025,0.609
154,5,31C,no,d,6,0.623,0.643,-0.020000000000000018,0.633
175,10,31C,yes,a,6,0.59,0.602,-0.01200000000000001,0.596
178,10,31C,no,a,6,0.607,0.635,-0.028000000000000025,0.621
119,10,31C,no,c,6,0.686,0.673,0.013000000000000012,0.6795
132,10,31C,no,c,6,0.609,0.674,-0.06500000000000006,0.6415
110,10,31C,yes,d,6,0.61,0.64,-0.030000000000000027,0.625
120,10,31C,no,d,6,0.569,0.573,-0.0040000000000000036,0.571
163,11,31C,no,a,6,0.6,0.694,-0.09399999999999997,0.647
174,11,31C,yes,a,6,0.628,0.664,-0.03600000000000003,0.646
116,11,31C,yes,c,6,0.645,0.69,-0.04499999999999993,0.6675
127,11,31C,no,c,6,0.699,0.706,-0.007000000000000006,0.7024999999999999
128,11,31C,no,d,6,0.634,0.626,0.008000000000000007,0.63
149,11,31C,yes,d,6,0.619,0.68,-0.061000000000000054,0.6495
162,3,28C,no,a,9,0.607,0.649,-0.04200000000000004,0.628
172,3,28C,yes,a,9,0.606,0.644,-0.038000000000000034,0.625
129,3,28C,yes,c,9,0.674,0.679,-0.0050000000000000044,0.6765000000000001
139,3,28C,no,c,9,0.669,0.671,-0.0020000000000000018,0.67
113,3,28C,yes,d,9,0.61,0.654,-0.04400000000000004,0.632
156,3,28C,no,d,9,0.645,0.666,-0.02100000000000002,0.6555
169,6,28C,no,a,9,0.672,0.66,0.01200000000000001,0.666
179,6,28C,yes,a,9,0.653,0.621,0.03200000000000003,0.637
117,6,28C,yes,c,9,0.657,0.667,-0.010000000000000009,0.662
123,6,28C,no,c,9,0.688,0.672,0.015999999999999903,0.6799999999999999
145,6,28C,no,d,9,0.647,0.673,-0.026000000000000023,0.66
146,6,28C,yes,d,9,0.614,0.674,-0.06000000000000005,0.644
166,9,28C,yes,a,9,0.644,0.654,-0.010000000000000009,0.649
173,9,28C,no,a,9,0.59,0.657,-0.06700000000000006,0.6234999999999999
121,9,28C,yes,c,9,0.681,0.671,0.010000000000000009,0.676
131,9,28C,no,c,9,0.601,0.696,-0.09499999999999997,0.6485
118,9,28C,yes,d,9,0.657,0.669,-0.01200000000000001,0.663
122,9,28C,no,d,9,0.617,0.662,-0.04500000000000004,0.6395
176,12,28C,no,a,9,0.67,0.674,-0.0040000000000000036,0.672
177,12,28C,yes,a,9,0.592,0.652,-0.06000000000000005,0.622
125,12,28C,no,c,9,0.712,0.7,0.01200000000000001,0.706
130,12,28C,yes,c,9,0.685,0.678,0.007000000000000006,0.6815
144,12,28C,yes,d,9,0.68,0.682,-0.0020000000000000018,0.681
147,12,28C,no,d,9,0.678,0.682,-0.0040000000000000036,0.68
152,4,31C,yes,a,9,0.602,0.585,0.017000000000000015,0.5934999999999999
165,4,31C,no,a,9,0.555,0.58,-0.02499999999999991,0.5675
133,4,31C,yes,c,9,0.616,0.652,-0.03600000000000003,0.634
141,4,31C,no,c,9,0.645,0.66,-0.015000000000000013,0.6525000000000001
143,4,31C,yes,d,9,0.607,0.581,0.026000000000000023,0.594
150,4,31C,no,d,9,0.592,0.592,0,0.592
161,5,31C,no,a,9,0.506,0.538,-0.03200000000000003,0.522
170,5,31C,yes,a,9,0.565,0.565,0,0.565
115,5,31C,yes,c,9,0.645,0.642,0.0030000000000000027,0.6435
124,5,31C,no,c,9,0.574,0.635,-0.061000000000000054,0.6045
126,5,31C,yes,d,9,0.598,0.593,0.0050000000000000044,0.5954999999999999
154,5,31C,no,d,9,0.555,0.549,0.006000000000000005,0.552
175,10,31C,yes,a,9,0.56,0.54,0.020000000000000018,0.55
178,10,31C,no,a,9,0.54,0.601,-0.06099999999999994,0.5705
119,10,31C,no,c,9,0.678,0.657,0.02100000000000002,0.6675
132,10,31C,no,c,9,0.614,0.561,0.052999999999999936,0.5875
110,10,31C,yes,d,9,0.595,0.585,0.010000000000000009,0.59
120,10,31C,no,d,9,0.539,0.559,-0.020000000000000018,0.549
163,11,31C,no,a,9,0.626,0.649,-0.02300000000000002,0.6375
174,11,31C,yes,a,9,0.685,0.643,0.04200000000000004,0.664
116,11,31C,yes,c,9,0.646,0.681,-0.03500000000000003,0.6635
127,11,31C,no,c,9,0.656,0.657,-0.0010000000000000009,0.6565000000000001
128,11,31C,no,d,9,0.618,0.644,-0.026000000000000023,0.631
149,11,31C,yes,d,9,0.632,0.62,0.01200000000000001,0.626
162,3,28C,no,a,12,0.643,0.653,-0.010000000000000009,0.648
172,3,28C,yes,a,12,0.672,0.666,0.006000000000000005,0.669
129,3,28C,yes,c,12,0.659,0.672,-0.013000000000000012,0.6655
139,3,28C,no,c,12,0.694,0.691,0.0030000000000000027,0.6924999999999999
113,3,28C,yes,d,12,0.637,0.669,-0.03200000000000003,0.653
156,3,28C,no,d,12,0.627,0.652,-0.025000000000000022,0.6395
169,6,28C,no,a,12,0.649,0.665,-0.016000000000000014,0.657
179,6,28C,yes,a,12,0.651,0.687,-0.03600000000000003,0.669
117,6,28C,yes,c,12,0.634,0.686,-0.052000000000000046,0.66
123,6,28C,no,c,12,0.671,0.695,-0.02399999999999991,0.683
145,6,28C,no,d,12,0.666,0.671,-0.0050000000000000044,0.6685000000000001
146,6,28C,yes,d,12,0.667,0.685,-0.018000000000000016,0.676
166,9,28C,yes,a,12,0.694,0.679,0.014999999999999902,0.6865
173,9,28C,no,a,12,0.579,0.697,-0.118,0.6379999999999999
121,9,28C,yes,c,12,0.69,0.709,-0.019000000000000017,0.6995
131,9,28C,no,c,12,0.637,0.698,-0.06099999999999994,0.6675
118,9,28C,yes,d,12,0.604,0.679,-0.07500000000000007,0.6415
122,9,28C,no,d,12,0.546,0.65,-0.10399999999999998,0.5980000000000001
176,12,28C,no,a,12,0.658,0.693,-0.03499999999999992,0.6755
177,12,28C,yes,a,12,0.676,0.661,0.015000000000000013,0.6685000000000001
125,12,28C,no,c,12,0.689,0.698,-0.009000000000000008,0.6935
130,12,28C,yes,c,12,0.687,0.685,0.0020000000000000018,0.686
