model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
design only,0.4398052720594141,0.4236845604640015,0.1896503953621131,27.282001136014927,1.020440465347209e-16,4,37.62778696904626,-63.255573938092525,-45.43669414063652,4.999450872079807,139,144
design + source_thicket + treatment:source_thicket,0.5490569609292736,0.5223344104658231,0.1726575616546114,20.546577755751333,4.3200296222214467e-20,8,53.247713166042196,-86.49542633208439,-56.79729333632439,4.024435535529651,135,144
design + prelim_snp_cluster + treatment:prelim_snp_cluster,0.6353575194107988,0.5957839168662342,0.15882922612613426,16.055084161097355,5.23197683060346e-22,14,68.5422169761725,-105.084433952345,-57.56742115912898,3.2542472762656427,129,144
design + prelim_snp_PCs + treatment:prelim_snp_PCs,0.6090298843305059,0.5732158279333004,0.16320286461945724,17.005331023548237,2.131370265641025e-21,12,63.52282638340265,-99.0456527668053,-57.4682665727413,3.4892079276195918,131,144
