thicket,source_label,ambient_growth_pct,heated_growth_pct,growth_heat_drop_pct,n_heated_wounded,growth_mean_31C_wounded,new_corallites_pct,tip_extension_pct,phys_growth_heat_penalty,n_responses
a,A,6.62050687114322,4.024731338806946,2.5957755323362735,4,3.622826598762777,0,75,0.9874621958515608,4
c,C,5.344006188146368,4.460179843660568,0.8838263444857999,4,4.683505180730296,75,100,0.2827386450376455,4
d,D,6.3482414153737,3.615408965911404,2.7328324494622955,4,3.4190092266273258,25,50,0.9273003440890127,4
