file,size_kb,mtime,status
K_13_color_dscale_genet_lmm_dharma.png,120,2026-09-06T21:48:09Z,PASS
K_13_growth_genet_lmm_dharma.png,92.8,2026-09-06T21:48:10Z,PASS
K_13_log_zoox_genet_lmm_dharma.png,124.8,2026-09-06T21:48:10Z,PASS
K_13_pam_fvfm_genet_lmm_dharma.png,136.7,2026-09-06T21:48:10Z,PASS
brglm_new_corallites_by_growth_all_wounded_brglm_dharma.png,252.8,2026-09-06T21:48:00Z,PASS
brglm_new_corallites_by_growth_heated_wounded_brglm_dharma.png,264.1,2026-09-06T21:48:01Z,PASS
brglm_tip_extension_by_growth_all_wounded_brglm_dharma.png,242.5,2026-09-06T21:48:01Z,PASS
brglm_tip_extension_by_growth_heated_wounded_brglm_dharma.png,286,2026-09-06T21:48:01Z,PASS
cloglog_transition_new_corallites_on_tip_growth_binned.png,123.4,2026-09-06T21:48:09Z,PASS
cloglog_transition_new_corallites_on_tip_growth_dharma.png,407.3,2026-09-06T21:48:07Z,PASS
cloglog_transition_tip_extension_growth_binned.png,130.9,2026-09-06T21:48:06Z,PASS
cloglog_transition_tip_extension_growth_dharma.png,348.5,2026-09-06T21:48:04Z,PASS
cloglog_transition_wound_smoothed_growth_binned.png,113,2026-09-06T21:48:04Z,PASS
cloglog_transition_wound_smoothed_growth_dharma.png,300.6,2026-09-06T21:48:03Z,PASS
cox_new_corallites_on_tip_growth_cox_zph.png,66.1,2026-09-06T21:48:03Z,PASS
cox_tip_extension_growth_cox_zph.png,71.4,2026-09-06T21:48:03Z,PASS
cox_wound_smoothed_growth_cox_zph.png,73.7,2026-09-06T21:48:02Z,PASS
lm_growth_by_new_corallites_all_wounded_lm_diagnostics.png,133,2026-09-06T21:47:59Z,PASS
lm_growth_by_new_corallites_heated_wounded_lm_diagnostics.png,108.7,2026-09-06T21:47:59Z,PASS
lm_growth_by_tip_extension_all_wounded_lm_diagnostics.png,134.7,2026-09-06T21:47:59Z,PASS
lm_growth_by_tip_extension_heated_wounded_lm_diagnostics.png,114.7,2026-09-06T21:48:00Z,PASS
lmrob_growth_by_new_corallites_all_wounded_lmrob_diagnostics.png,129.1,2026-09-06T21:48:02Z,PASS
lmrob_growth_by_new_corallites_heated_wounded_lmrob_diagnostics.png,109.4,2026-09-06T21:48:02Z,PASS
lmrob_growth_by_tip_extension_all_wounded_lmrob_diagnostics.png,128.6,2026-09-06T21:48:02Z,PASS
lmrob_growth_by_tip_extension_heated_wounded_lmrob_diagnostics.png,120.1,2026-09-06T21:48:02Z,PASS
