Description,Domain,Response,Model,Term,Test,Statistic,df,N,Estimate,% change,95% CI,p,Interpretation,Source
"Genet resilience: Composite heat sensitivity by scope — genet=d; heat only (unwounded) [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=d; heat only (unwounded),mean standardized sensitivity,0.90,NA,4,0.899 standardized sensitivity,NA,NA,NA,"Genet d, heat only (unwounded): mean sensitivity 0.90 across 4 responses",code/19_genet_dashboard.R
"Genet resilience: Composite heat sensitivity by scope — genet=d; heat while wounded [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=d; heat while wounded,mean standardized sensitivity,0.44,NA,10,0.438 standardized sensitivity,NA,NA,NA,"Genet d, heat while wounded: mean sensitivity 0.44 across 10 responses",code/19_genet_dashboard.R
"Healing milestone lag: axial_polyp_formation -> new_corallites_on_tip — 28C (n closed=12, reached both=12) [event timing, median lag (days)]",Healing milestone lag,axial_polyp_formation -> new_corallites_on_tip,event timing,"28C (n closed=12, reached both=12)",median lag (days),9.00,NA,12,9.000 days,+0.0%,"[8.00, 9.00]",NA,28C: 0% closed but never regenerated; median lag 9 d,code/14_morphology_kaplan.R
"Healing milestone lag: axial_polyp_formation -> new_corallites_on_tip — 31C (n closed=12, reached both=4) [event timing, median lag (days)]",Healing milestone lag,axial_polyp_formation -> new_corallites_on_tip,event timing,"31C (n closed=12, reached both=4)",median lag (days),11.00,NA,4,11.000 days,+66.7%,"[10.50, 11.00]",NA,31C: 67% closed but never regenerated; median lag 11 d,code/14_morphology_kaplan.R
"Healing milestone lag: wound_smoothed -> new_corallites_on_tip — 28C (n closed=12, reached both=12) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> new_corallites_on_tip,event timing,"28C (n closed=12, reached both=12)",median lag (days),8.00,NA,12,8.000 days,+0.0%,"[7.50, 8.25]",NA,28C: 0% closed but never regenerated; median lag 8 d,code/14_morphology_kaplan.R
"Healing milestone lag: wound_smoothed -> new_corallites_on_tip — 31C (n closed=12, reached both=4) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> new_corallites_on_tip,event timing,"31C (n closed=12, reached both=4)",median lag (days),10.00,NA,4,10.000 days,+66.7%,"[9.50, 10.00]",NA,31C: 67% closed but never regenerated; median lag 10 d,code/14_morphology_kaplan.R
"Healing milestone lag: wound_smoothed -> tip_extension — 28C (n closed=12, reached both=11) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> tip_extension,event timing,"28C (n closed=12, reached both=11)",median lag (days),4.00,NA,11,4.000 days,+8.3%,"[3.00, 4.00]",NA,28C: 8% closed but never regenerated; median lag 4 d,code/14_morphology_kaplan.R
"Healing milestone lag: wound_smoothed -> tip_extension — 31C (n closed=12, reached both=11) [event timing, median lag (days)]",Healing milestone lag,wound_smoothed -> tip_extension,event timing,"31C (n closed=12, reached both=11)",median lag (days),4.00,NA,11,4.000 days,+8.3%,"[4.00, 5.00]",NA,31C: 8% closed but never regenerated; median lag 4 d,code/14_morphology_kaplan.R
"Microscope morphology: Axial polyp formation — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Axial polyp formation,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,16,0.000 proportion difference,NA,NA,1.000,Microscope endpoint: 8/8 at 28C vs 8/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R
"Microscope morphology: Axial polyp formation — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Axial polyp formation,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,1.00,1,16,NA,NA,NA,0.317,Microscope first-observed timing for axial_polyp_formation (exploratory log-rank p=0.317),code/11_microscope_physio.R
"Microscope morphology: New corallites on tip — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,New corallites on tip,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,16,-0.750 proportion difference,NA,NA,0.007,Microscope endpoint: 8/8 at 28C vs 2/8 at 31C (risk diff=-0.75; exploratory),code/11_microscope_physio.R
"Microscope morphology: New corallites on tip — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,New corallites on tip,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,11.45,1,16,NA,NA,NA,<0.001,Microscope first-observed timing for new_corallites_on_tip (exploratory log-rank p=<0.001),code/11_microscope_physio.R
"Microscope morphology: Pigment over wound — endpoint D7: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Pigment over wound,photo-only endpoint Fisher exact,endpoint D7: 31C - 28C,Fisher exact,NA,1,16,0.000 proportion difference,NA,NA,1.000,Microscope endpoint: 2/8 at 28C vs 2/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R
"Microscope morphology: Pigment over wound — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Pigment over wound,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,0.02,1,16,NA,NA,NA,0.886,Microscope first-observed timing for pigment_over_wound (exploratory log-rank p=0.886),code/11_microscope_physio.R
"Microscope morphology: Tip exists — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Tip exists,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,16,0.000 proportion difference,NA,NA,1.000,Microscope endpoint: 8/8 at 28C vs 8/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R
"Microscope morphology: Tip exists — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Tip exists,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,0.15,1,16,NA,NA,NA,0.702,Microscope first-observed timing for tip_exist (exploratory log-rank p=0.702),code/11_microscope_physio.R
"Microscope morphology: Tip extension — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Tip extension,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,16,0.000 proportion difference,NA,NA,1.000,Microscope endpoint: 8/8 at 28C vs 8/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R
"Microscope morphology: Tip extension — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Tip extension,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,2.07,1,16,NA,NA,NA,0.150,Microscope first-observed timing for tip_extension (exploratory log-rank p=0.150),code/11_microscope_physio.R
"Microscope morphology: Tissue over wound — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Tissue over wound,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,16,0.000 proportion difference,NA,NA,1.000,Microscope endpoint: 8/8 at 28C vs 8/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R
"Microscope morphology: Tissue over wound — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Tissue over wound,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,2.14,1,16,NA,NA,NA,0.143,Microscope first-observed timing for tissue_over_wound (exploratory log-rank p=0.143),code/11_microscope_physio.R
"Microscope morphology: Wound smoothed — endpoint D15: 31C - 28C [photo-only endpoint Fisher exact, Fisher exact]",Microscope morphology,Wound smoothed,photo-only endpoint Fisher exact,endpoint D15: 31C - 28C,Fisher exact,NA,1,16,0.000 proportion difference,NA,NA,1.000,Microscope endpoint: 8/8 at 28C vs 8/8 at 31C (risk diff=+0.00; exploratory),code/11_microscope_physio.R
"Microscope morphology: Wound smoothed — log-rank: 31C vs 28C [photo-only first-observed timing, log-rank chi-sq]",Microscope morphology,Wound smoothed,photo-only first-observed timing,log-rank: 31C vs 28C,log-rank chi-sq,0.00,1,16,NA,NA,NA,1.000,Microscope first-observed timing for wound_smoothed (exploratory log-rank p=1.000),code/11_microscope_physio.R
"Morphology: Hole in center — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Hole in center,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0.00,NA,NA,0.000 probability,+0.0%,NA,NA,P(28C)=1.00 vs P(31C)=1.00; OR(31vs28)=NA,code/sensitivity/29_morphology_prob_contrasts.R
"Morphology: New corallites on tip — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,New corallites on tip,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0.00,NA,NA,0.000 probability,+0.0%,NA,NA,P(28C)=0.00 vs P(31C)=0.00; OR(31vs28)=NA,code/sensitivity/29_morphology_prob_contrasts.R
"Morphology: Pigment over wound — day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",day_z,Wald chi-sq,0.08,1,NA,NA,NA,NA,0.775,day_z effect on pigment_over_wound (n.s.),code/12_models.R
"Morphology: Pigment over wound — day_z:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",day_z:thicket,Wald chi-sq,4.71,2,NA,NA,NA,NA,0.095,day_z:thicket effect on pigment_over_wound (n.s.),code/12_models.R
"Morphology: Pigment over wound — fixed: day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z,Wald z,-0.30,NA,NA,-0.246 log-odds,-21.8%,"[-1.84, 1.35]",0.763,"fixed: day_z: OR=0.78 (n.s., blme penalized)",code/12_models.R
"Morphology: Pigment over wound — fixed: day_z:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z:thicket2,Wald z,2.17,NA,NA,3.305 log-odds,+2623.7%,"[0.32, 6.29]",0.030,"fixed: day_z:thicket2: OR=27.24 (sig, blme penalized)",code/12_models.R
"Morphology: Pigment over wound — fixed: day_z:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z:thicket3,Wald z,-0.98,NA,NA,-1.072 log-odds,-65.8%,"[-3.21, 1.07]",0.326,"fixed: day_z:thicket3: OR=0.34 (n.s., blme penalized)",code/12_models.R
"Morphology: Pigment over wound — fixed: thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket2,Wald z,-0.70,NA,NA,-0.673 log-odds,-49.0%,"[-2.57, 1.22]",0.487,"fixed: thicket2: OR=0.51 (n.s., blme penalized)",code/12_models.R
"Morphology: Pigment over wound — fixed: thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket3,Wald z,-0.14,NA,NA,-0.131 log-odds,-12.3%,"[-1.99, 1.73]",0.890,"fixed: thicket3: OR=0.88 (n.s., blme penalized)",code/12_models.R
"Morphology: Pigment over wound — fixed: treatment2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2,Wald z,-0.15,NA,NA,-0.142 log-odds,-13.2%,"[-2.03, 1.74]",0.883,"fixed: treatment2: OR=0.87 (n.s., blme penalized)",code/12_models.R
"Morphology: Pigment over wound — fixed: treatment2:day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z,Wald z,-0.42,NA,NA,-0.421 log-odds,-34.3%,"[-2.37, 1.53]",0.672,"fixed: treatment2:day_z: OR=0.66 (n.s., blme penalized)",code/12_models.R
"Morphology: Pigment over wound — fixed: treatment2:day_z:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z:thicket2,Wald z,1.26,NA,NA,1.845 log-odds,+533.2%,"[-1.02, 4.71]",0.207,"fixed: treatment2:day_z:thicket2: OR=6.33 (n.s., blme penalized)",code/12_models.R
"Morphology: Pigment over wound — fixed: treatment2:day_z:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:day_z:thicket3,Wald z,0.31,NA,NA,0.448 log-odds,+56.4%,"[-2.36, 3.26]",0.755,"fixed: treatment2:day_z:thicket3: OR=1.56 (n.s., blme penalized)",code/12_models.R
"Morphology: Pigment over wound — fixed: treatment2:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket2,Wald z,-0.23,NA,NA,-0.288 log-odds,-25.0%,"[-2.69, 2.12]",0.815,"fixed: treatment2:thicket2: OR=0.75 (n.s., blme penalized)",code/12_models.R
"Morphology: Pigment over wound — fixed: treatment2:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2:thicket3,Wald z,-1.12,NA,NA,-1.552 log-odds,-78.8%,"[-4.26, 1.15]",0.261,"fixed: treatment2:thicket3: OR=0.21 (n.s., blme penalized)",code/12_models.R
"Morphology: Pigment over wound — thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",thicket,Wald chi-sq,1.16,2,NA,NA,NA,NA,0.560,thicket effect on pigment_over_wound (n.s.),code/12_models.R
"Morphology: Pigment over wound — treatment [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment,Wald chi-sq,0.21,1,NA,NA,NA,NA,0.647,treatment effect on pigment_over_wound (n.s.),code/12_models.R
"Morphology: Pigment over wound — treatment:day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day_z,Wald chi-sq,0.00,1,NA,NA,NA,NA,0.975,treatment:day_z effect on pigment_over_wound (n.s.),code/12_models.R
"Morphology: Pigment over wound — treatment:day_z:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:day_z:thicket,Wald chi-sq,1.63,2,NA,NA,NA,NA,0.443,treatment:day_z:thicket effect on pigment_over_wound (n.s.),code/12_models.R
"Morphology: Pigment over wound — treatment:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Pigment over wound,"GLMM (binomial, blme Cauchy(0,2.5))",treatment:thicket,Wald chi-sq,1.01,2,NA,NA,NA,NA,0.603,treatment:thicket effect on pigment_over_wound (n.s.),code/12_models.R
"Morphology: Pigment over wound — 28C - 31C at day 10 [GLMM contrast (prob scale), delta probability]",Morphology,Pigment over wound,GLMM contrast (prob scale),28C - 31C at day 10,delta probability,0.01,NA,NA,0.014 probability,+1.4%,NA,0.380,P(28C)=0.03 vs P(31C)=0.01; OR(31vs28)=0.47,code/sensitivity/29_morphology_prob_contrasts.R
"Morphology: Polyps out — day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",day_z,Wald chi-sq,0.01,1,NA,NA,NA,NA,0.914,day_z effect on polyps_out (n.s.),code/12_models.R
"Morphology: Polyps out — day_z:thicket [GLMM (binomial, blme Cauchy(0,2.5)), Wald chi-sq]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",day_z:thicket,Wald chi-sq,2.68,2,NA,NA,NA,NA,0.262,day_z:thicket effect on polyps_out (n.s.),code/12_models.R
"Morphology: Polyps out — fixed: day_z [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z,Wald z,0.83,NA,NA,0.414 log-odds,+51.3%,"[-0.57, 1.39]",0.408,"fixed: day_z: OR=1.51 (n.s., blme penalized)",code/12_models.R
"Morphology: Polyps out — fixed: day_z:thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z:thicket2,Wald z,1.33,NA,NA,0.914 log-odds,+149.5%,"[-0.43, 2.26]",0.183,"fixed: day_z:thicket2: OR=2.50 (n.s., blme penalized)",code/12_models.R
"Morphology: Polyps out — fixed: day_z:thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: day_z:thicket3,Wald z,0.66,NA,NA,0.426 log-odds,+53.1%,"[-0.84, 1.69]",0.510,"fixed: day_z:thicket3: OR=1.53 (n.s., blme penalized)",code/12_models.R
"Morphology: Polyps out — fixed: thicket2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket2,Wald z,1.33,NA,NA,0.658 log-odds,+93.1%,"[-0.31, 1.63]",0.184,"fixed: thicket2: OR=1.93 (n.s., blme penalized)",code/12_models.R
"Morphology: Polyps out — fixed: thicket3 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: thicket3,Wald z,0.84,NA,NA,0.400 log-odds,+49.1%,"[-0.53, 1.33]",0.400,"fixed: thicket3: OR=1.49 (n.s., blme penalized)",code/12_models.R
"Morphology: Polyps out — fixed: treatment2 [GLMM (binomial, blme Cauchy(0,2.5)), Wald z]",Morphology,Polyps out,"GLMM (binomial, blme Cauchy(0,2.5))",fixed: treatment2,Wald z,-1.14,NA,NA,-0.669 log-odds,-48.8%,"[-1.82, 0.48]",0.255,"fixed: treatment2: OR=0.51 (n.s., blme penalized)",code/12_models.R
