Description,Domain,Response,Model,Term,Test,Statistic,df,N,Estimate,% change,95% CI,p,Interpretation,Source
"Confirmatory / exploratory testing: a priori (confirmatory) — color_dscale : treatment:day [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),color_dscale : treatment:day,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,a priori (confirmatory); significant (rationale: Hoegh-Guldberg 1999 (heat-driven paling)),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — growth_pct : treatment (tank permutation) [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),growth_pct : treatment (tank permutation),reported p,0.06,NA,NA,"0.057 p (raw if a priori, BH if exploratory)",NA,NA,0.057,a priori (confirmatory); n.s. (rationale: Jokiel & Coles 1977 (heat reduces calcification); tank-level permutation p),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — log_zoox_density : treatment:biopsy_day_c [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),log_zoox_density : treatment:biopsy_day_c,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,a priori (confirmatory); significant (rationale: Hoegh-Guldberg 1999; Jokiel & Coles 1990 (symbiont loss)),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — morph:tip_exist : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),morph:tip_exist : treatment,reported p,0.88,NA,NA,"0.882 p (raw if a priori, BH if exploratory)",NA,NA,0.882,a priori (confirmatory); n.s. (rationale: central hypothesis: heat impairs tip regeneration),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — morph:tip_extension : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),morph:tip_extension : treatment,reported p,0.20,NA,NA,"0.202 p (raw if a priori, BH if exploratory)",NA,NA,0.202,a priori (confirmatory); n.s. (rationale: central hypothesis: heat impairs tip regeneration),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — pam_fvfm : treatment:day [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),pam_fvfm : treatment:day,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,a priori (confirmatory); significant (rationale: Warner et al. 1999 (heat lowers Fv/Fm)),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — survival_interval:new_corallites_on_tip : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),survival_interval:new_corallites_on_tip : 31C vs 28C,reported p,0.00,NA,NA,"0.000 p (raw if a priori, BH if exploratory)",NA,NA,<0.001,a priori (confirmatory); significant (rationale: central hypothesis: heat delays/prevents tip regeneration),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — survival_interval:tip_exist : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),survival_interval:tip_exist : 31C vs 28C,reported p,0.04,NA,NA,"0.036 p (raw if a priori, BH if exploratory)",NA,NA,0.036,a priori (confirmatory); significant (rationale: central hypothesis: heat delays/prevents tip regeneration),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: a priori (confirmatory) — survival_interval:tip_extension : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,a priori (confirmatory),a priori (raw) / exploratory (BH),survival_interval:tip_extension : 31C vs 28C,reported p,0.18,NA,NA,"0.180 p (raw if a priori, BH if exploratory)",NA,NA,0.180,a priori (confirmatory); n.s. (rationale: central hypothesis: heat delays/prevents tip regeneration),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — morph:pigment_over_wound : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),morph:pigment_over_wound : treatment,reported p,0.74,NA,NA,"0.740 p (raw if a priori, BH if exploratory)",NA,NA,0.647,exploratory; n.s. (rationale: no a-priori prediction for this closure/incidental trait),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — morph:polyps_out : treatment [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),morph:polyps_out : treatment,reported p,0.74,NA,NA,"0.740 p (raw if a priori, BH if exploratory)",NA,NA,0.573,exploratory; n.s. (rationale: no a-priori prediction for this closure/incidental trait),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — survival_interval:axial_polyp_formation : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),survival_interval:axial_polyp_formation : 31C vs 28C,reported p,0.74,NA,NA,"0.740 p (raw if a priori, BH if exploratory)",NA,NA,0.455,exploratory; n.s. (rationale: no a-priori prediction for this closure milestone),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — survival_interval:pigment_over_wound : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),survival_interval:pigment_over_wound : 31C vs 28C,reported p,0.74,NA,NA,"0.740 p (raw if a priori, BH if exploratory)",NA,NA,0.740,exploratory; n.s. (rationale: no a-priori prediction for this closure milestone),code/sensitivity/28_multiple_testing.R
"Confirmatory / exploratory testing: exploratory — survival_interval:wound_smoothed : 31C vs 28C [a priori (raw) / exploratory (BH), reported p]",Confirmatory / exploratory testing,exploratory,a priori (raw) / exploratory (BH),survival_interval:wound_smoothed : 31C vs 28C,reported p,0.11,NA,NA,"0.112 p (raw if a priori, BH if exploratory)",NA,NA,0.022,exploratory; n.s. (rationale: no a-priori prediction for this closure milestone),code/sensitivity/28_multiple_testing.R
"Genet resilience: Composite heat sensitivity across responses — genet=a [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity across responses,row-max standardized composite,genet=a,mean standardized sensitivity,0.56,NA,9,0.565 standardized sensitivity,NA,"[1.00, 3.71]",NA,"Genet a: mean sensitivity 0.56, median 1.00, PCA displacement 3.71, rank 3",code/19_genet_dashboard.R
"Genet resilience: Composite heat sensitivity across responses — genet=c [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity across responses,row-max standardized composite,genet=c,mean standardized sensitivity,0.01,NA,10,0.007 standardized sensitivity,NA,"[0.10, 1.02]",NA,"Genet c: mean sensitivity 0.01, median 0.10, PCA displacement 1.02, rank 1",code/19_genet_dashboard.R
"Genet resilience: Composite heat sensitivity across responses — genet=d [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity across responses,row-max standardized composite,genet=d,mean standardized sensitivity,0.43,NA,10,0.429 standardized sensitivity,NA,"[0.88, 3.38]",NA,"Genet d: mean sensitivity 0.43, median 0.88, PCA displacement 3.38, rank 2",code/19_genet_dashboard.R
"Genet resilience: Composite heat sensitivity by scope — genet=a; heat only (unwounded) [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=a; heat only (unwounded),mean standardized sensitivity,0.99,NA,4,0.988 standardized sensitivity,NA,NA,NA,"Genet a, heat only (unwounded): mean sensitivity 0.99 across 4 responses",code/19_genet_dashboard.R
"Genet resilience: Composite heat sensitivity by scope — genet=a; heat while wounded [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=a; heat while wounded,mean standardized sensitivity,0.56,NA,9,0.560 standardized sensitivity,NA,NA,NA,"Genet a, heat while wounded: mean sensitivity 0.56 across 9 responses",code/19_genet_dashboard.R
"Genet resilience: Composite heat sensitivity by scope — genet=c; heat only (unwounded) [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=c; heat only (unwounded),mean standardized sensitivity,0.43,NA,4,0.428 standardized sensitivity,NA,NA,NA,"Genet c, heat only (unwounded): mean sensitivity 0.43 across 4 responses",code/19_genet_dashboard.R
"Genet resilience: Composite heat sensitivity by scope — genet=c; heat while wounded [row-max standardized composite, mean standardized sensitivity]",Genet resilience,Composite heat sensitivity by scope,row-max standardized composite,genet=c; heat while wounded,mean standardized sensitivity,-0.05,NA,10,-0.046 standardized sensitivity,NA,NA,NA,"Genet c, heat while wounded: mean sensitivity -0.05 across 10 responses",code/19_genet_dashboard.R
