omitted_tank,heat_gap
3,-0.007317129629629625
4,-0.010870370370370364
5,-0.005833333333333326
6,-0.006844907407407402
9,-0.01327083333333333
10,-0.007777777777777769
11,-0.011157407407407404
12,-0.008206018518518505
