model,diagnostic,value,p_value,status,diagnostic_figure
brglm_new_corallites_by_growth_all_wounded,DHARMa dispersion screen,0.286,0.286,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_new_corallites_by_growth_all_wounded_brglm_dharma.png
brglm_new_corallites_by_growth_all_wounded,DHARMa outlier screen,1,1,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_new_corallites_by_growth_all_wounded_brglm_dharma.png
brglm_new_corallites_by_growth_all_wounded,DHARMa uniformity screen,0.03499988677690391,0.03499988677690391,flagged,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_new_corallites_by_growth_all_wounded_brglm_dharma.png
brglm_new_corallites_by_growth_all_wounded,bias-reduced GLM convergence,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_new_corallites_by_growth_all_wounded_brglm_dharma.png
brglm_new_corallites_by_growth_heated_wounded,DHARMa dispersion screen,0.488,0.488,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_new_corallites_by_growth_heated_wounded_brglm_dharma.png
brglm_new_corallites_by_growth_heated_wounded,DHARMa outlier screen,1,1,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_new_corallites_by_growth_heated_wounded_brglm_dharma.png
brglm_new_corallites_by_growth_heated_wounded,DHARMa uniformity screen,0.9897923676871849,0.9897923676871849,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_new_corallites_by_growth_heated_wounded_brglm_dharma.png
brglm_new_corallites_by_growth_heated_wounded,bias-reduced GLM convergence,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_new_corallites_by_growth_heated_wounded_brglm_dharma.png
brglm_tip_extension_by_growth_all_wounded,DHARMa dispersion screen,0.436,0.436,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_tip_extension_by_growth_all_wounded_brglm_dharma.png
brglm_tip_extension_by_growth_all_wounded,DHARMa outlier screen,1,1,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_tip_extension_by_growth_all_wounded_brglm_dharma.png
brglm_tip_extension_by_growth_all_wounded,DHARMa uniformity screen,0.6707580474564618,0.6707580474564618,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_tip_extension_by_growth_all_wounded_brglm_dharma.png
brglm_tip_extension_by_growth_all_wounded,bias-reduced GLM convergence,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_tip_extension_by_growth_all_wounded_brglm_dharma.png
brglm_tip_extension_by_growth_heated_wounded,DHARMa dispersion screen,0.506,0.506,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_tip_extension_by_growth_heated_wounded_brglm_dharma.png
brglm_tip_extension_by_growth_heated_wounded,DHARMa outlier screen,1,1,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_tip_extension_by_growth_heated_wounded_brglm_dharma.png
brglm_tip_extension_by_growth_heated_wounded,DHARMa uniformity screen,0.8066818220740589,0.8066818220740589,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_tip_extension_by_growth_heated_wounded_brglm_dharma.png
brglm_tip_extension_by_growth_heated_wounded,bias-reduced GLM convergence,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/brglm_tip_extension_by_growth_heated_wounded_brglm_dharma.png
cloglog_transition_new_corallites_on_tip_growth,DHARMa dispersion screen,0.468,0.468,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_binned.png
cloglog_transition_new_corallites_on_tip_growth,DHARMa outlier screen,1,1,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_binned.png
cloglog_transition_new_corallites_on_tip_growth,DHARMa uniformity screen,0.39270088496319033,0.39270088496319033,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_binned.png
cloglog_transition_new_corallites_on_tip_growth,bias-reduced complementary log-log convergence,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_binned.png
cloglog_transition_new_corallites_on_tip_growth,maximum hat value,0.21680047528966442,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_new_corallites_on_tip_growth_binned.png
cloglog_transition_tip_extension_growth,DHARMa dispersion screen,0.812,0.812,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_binned.png
cloglog_transition_tip_extension_growth,DHARMa outlier screen,1,1,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_binned.png
cloglog_transition_tip_extension_growth,DHARMa uniformity screen,0.6716111113662129,0.6716111113662129,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_binned.png
cloglog_transition_tip_extension_growth,bias-reduced complementary log-log convergence,1,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_binned.png
cloglog_transition_tip_extension_growth,maximum hat value,0.2053545765423877,NA,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_tip_extension_growth_binned.png
cloglog_transition_wound_smoothed_growth,DHARMa dispersion screen,0.684,0.684,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_binned.png
cloglog_transition_wound_smoothed_growth,DHARMa outlier screen,1,1,passed,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_dharma.png / /Users/adrianstier/Stier-LTH-expression-by-temperature-2025/figures/37_tradeoff_diagnostics/cloglog_transition_wound_smoothed_growth_binned.png
