source_thicket,prelim_snp_cluster_analysis,treatment,wound,day_f,n,mean_symbiont_million_per_cm2,se_symbiont_million_per_cm2,mean_log10_symbiont_cells_per_cm2
a,cluster 4,28C,no,1,4,1.2384471621291573,0.08776044681907993,6.089846870168776
a,cluster 4,28C,no,3,4,1.0313250951865305,0.1779007341342238,5.993149551972119
a,cluster 4,28C,no,10,3,0.8373966579763921,0.08201915045289036,5.918495895412332
a,cluster 4,28C,yes,1,3,1.0892713526397273,0.2495938122803475,6.010775257284227
a,cluster 4,28C,yes,3,2,0.9372089058260894,0.06818116033235488,5.970684116121145
a,cluster 4,28C,yes,10,3,0.7882473776537215,0.07176875434340135,5.8928946647417515
a,cluster 4,31C,no,1,3,0.5486872543802488,0.13164965805714093,5.706961260228415
a,cluster 4,31C,no,3,3,0.5740951390207837,0.09047921086968151,5.7465436506227645
a,cluster 4,31C,no,10,4,0.17476390915404483,0.029633083976041193,5.22187699438493
a,cluster 4,31C,yes,1,3,0.5437367221826664,0.10318806818178021,5.718470712978987
a,cluster 4,31C,yes,3,3,0.35461395946903285,0.03179656721684316,5.546356200199208
a,cluster 4,31C,yes,10,4,0.25218564002605914,0.019817682554594075,5.397174823264528
a,cluster 5,28C,no,10,1,1.299790757610554,NA,6.113873444515184
a,cluster 5,28C,yes,3,2,1.0460318643916415,0.10542798962295691,6.017327782113508
a,cluster 5,28C,yes,10,1,0.9334470129695583,NA,5.970089670300033
a,cluster 5,31C,no,3,1,0.942921800352024,NA,5.974475676741738
a,cluster 5,31C,yes,1,1,1.1802575107296138,NA,6.071976772804244
a,small clusters (6/7/8),28C,yes,1,1,1.4852482126674051,NA,6.171799038423476
a,small clusters (6/7/8),31C,no,1,1,0.5689189754750147,NA,5.7550504192778025
a,small clusters (6/7/8),31C,yes,3,1,1.9519197231091197,NA,6.290461952404623
c,cluster 1,28C,no,1,4,1.1786537269745343,0.1615610838255252,6.060607304750874
c,cluster 1,28C,no,3,4,0.914883534794771,0.1570842763448637,5.938329313705367
c,cluster 1,28C,no,10,4,1.2023226707187566,0.1576275185358548,6.066125908569676
c,cluster 1,28C,yes,1,4,1.1609593308905062,0.13722672462667715,6.0557341380132925
c,cluster 1,28C,yes,3,4,0.9588310592116092,0.08883610423454551,5.976276871714122
c,cluster 1,28C,yes,10,4,1.042645892850166,0.09328803500945598,6.0132490070877855
c,cluster 1,31C,no,1,4,1.0284456753071336,0.14044890083964517,6.000211618140087
c,cluster 1,31C,no,3,4,0.8959821098118709,0.047499641582197834,5.950435190746707
c,cluster 1,31C,no,10,4,0.6341066608350009,0.135089486533755,5.773789201347017
c,cluster 1,31C,yes,1,4,0.7426385309169684,0.0935188313026312,5.858789620558012
c,cluster 1,31C,yes,3,4,0.7466667712645138,0.07021851127421659,5.867283963102022
c,cluster 1,31C,yes,10,4,0.6776141038746893,0.10343255023296223,5.815010477045514
d,cluster 2,28C,no,1,3,1.062614641297798,0.1729569557472379,6.01304046067037
d,cluster 2,28C,no,3,1,1.018496791233738,NA,6.007959665096933
d,cluster 2,28C,no,10,1,0.8841385751889276,NA,5.946520339360692
d,cluster 2,28C,yes,1,2,1.1831719596766126,0.04329862855868161,6.072756865400219
d,cluster 2,28C,yes,3,2,1.1468925929998153,0.010957824209095413,6.059502924573197
d,cluster 2,28C,yes,10,2,1.0496376659579667,0.013136359400488183,6.021005392703789
d,cluster 2,31C,no,1,1,1.1449058531601226,NA,6.058769775641749
d,cluster 2,31C,no,10,2,0.32641776667760136,0.09726123647672558,5.4935845896558835
d,cluster 2,31C,yes,3,2,0.5945006002267874,0.002527105664520246,5.7741483736904735
d,cluster 2,31C,yes,10,1,0.2835538752362949,NA,5.452635587020495
d,cluster 3,28C,no,1,1,0.9661117717003567,NA,5.985027373853
d,cluster 3,28C,no,3,2,0.5771477569613748,0.10185061755766803,5.754416967544834
d,cluster 3,28C,no,10,3,1.0023498360980703,0.10180959346468897,5.996406981767737
d,cluster 3,28C,yes,1,1,1.1684884109540563,NA,6.067624409425154
d,cluster 3,28C,yes,3,1,0.8337062341744521,NA,5.921013049017055
d,cluster 3,28C,yes,10,2,0.8400695548199228,0.014472522088864069,5.924250787629475
d,cluster 3,31C,no,1,1,0.6742646185518033,NA,5.828830371050117
d,cluster 3,31C,yes,1,3,0.6870138619002008,0.08359699247693324,5.830837229673684
d,cluster 3,31C,yes,10,2,0.3550401283973711,0.22976347578952874,5.432440090533346
d,cluster 4,28C,no,3,1,0.9735629662132516,NA,5.988364045218794
d,cluster 4,28C,yes,1,1,1.2162101007663066,NA,6.0850086059578015
d,cluster 4,28C,yes,3,1,0.8483600444171902,NA,5.928580206169657
d,cluster 4,31C,no,1,2,0.6987404864453097,0.12907408309111407,5.836776836487724
d,cluster 4,31C,no,3,4,0.4270568247169483,0.07132889136235186,5.611667208157307
d,cluster 4,31C,no,10,1,0.06654027904891761,NA,4.823084617830534
d,cluster 4,31C,yes,1,1,0.627358580924468,NA,5.797515842589755
d,cluster 4,31C,yes,3,2,0.47768902112767647,0.053124716331848953,5.676442815987974
d,cluster 5,31C,no,10,1,0.33461865553365033,NA,5.524550149924246
d,small clusters (6/7/8),31C,yes,10,1,0.8494369446538295,NA,5.929131145882785
