row,col,expected,actual,file
3,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
5,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
7,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
9,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
11,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
13,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
15,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
17,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
19,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
21,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
23,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
25,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
27,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
29,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
31,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
33,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
35,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
37,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
39,14,15 columns,14 columns,/Users/adrianstier/Stier-LTH-expression-by-temperature-2025/data/raw/pam/PAM_data.csv
