treatment,day,sd_residual
28C,0,0.0270003383684581
28C,3,0.02505690146662624
28C,6,0.025232268363679068
28C,9,0.02731234454495455
28C,12,0.029901131034879277
28C,14,0.023918228237404936
31C,0,0.02754943096635763
31C,3,0.051244380914972146
31C,6,0.03081829135664607
31C,9,0.026019627098332963
31C,12,0.041483761171295326
31C,14,0.049360784219229493
