treatment,day,n_total,n_scored_today,n_missing_today,n_present_today,stage_order
28C,0,8,8,0,0,1
28C,1,8,8,0,8,1
28C,2,8,8,0,8,1
28C,3,8,8,0,8,1
28C,4,8,8,0,8,1
28C,5,8,8,0,8,1
28C,6,8,8,0,8,1
28C,7,8,8,0,8,1
28C,8,8,8,0,8,1
28C,9,8,8,0,8,1
28C,10,8,8,0,8,1
28C,11,8,8,0,8,1
28C,12,8,8,0,8,1
28C,13,8,8,0,8,1
28C,14,8,8,0,8,1
28C,15,8,8,0,8,1
31C,0,8,8,0,0,1
31C,1,8,6,2,6,1
31C,2,8,8,0,8,1
31C,3,8,8,0,8,1
31C,4,8,8,0,8,1
31C,5,8,8,0,8,1
31C,6,8,8,0,8,1
31C,7,8,8,0,8,1
31C,8,8,8,0,8,1
31C,9,8,8,0,8,1
31C,10,8,8,0,8,1
31C,11,8,8,0,8,1
31C,12,8,8,0,8,1
31C,13,8,8,0,8,1
31C,14,8,8,0,8,1
31C,15,8,8,0,8,1
28C,0,12,12,0,0,2
28C,1,12,12,0,0,2
28C,2,12,12,0,0,2
28C,3,12,12,0,6,2
28C,4,12,12,0,10,2
28C,5,12,12,0,10,2
28C,6,12,12,0,11,2
28C,7,12,12,0,11,2
28C,8,12,12,0,11,2
28C,9,12,12,0,12,2
28C,10,12,12,0,12,2
28C,11,12,12,0,12,2
28C,12,12,12,0,12,2
28C,13,12,12,0,12,2
28C,14,12,12,0,12,2
28C,15,12,12,0,12,2
31C,0,12,12,0,0,2
31C,1,12,12,0,0,2
31C,2,12,12,0,0,2
31C,3,12,12,0,8,2
31C,4,12,12,0,11,2
31C,5,12,12,0,11,2
31C,6,12,12,0,11,2
31C,7,12,12,0,11,2
31C,8,12,12,0,11,2
31C,9,12,12,0,12,2
31C,10,12,12,0,12,2
31C,11,12,12,0,12,2
31C,12,12,12,0,12,2
31C,13,12,12,0,12,2
31C,14,12,12,0,12,2
31C,15,12,12,0,12,2
28C,0,12,12,0,0,3
28C,1,12,12,0,0,3
28C,2,12,12,0,0,3
28C,3,12,12,0,0,3
28C,4,12,12,0,8,3
28C,5,12,12,0,8,3
28C,6,12,12,0,12,3
28C,7,12,12,0,12,3
28C,8,12,12,0,12,3
28C,9,12,12,0,12,3
28C,10,12,12,0,12,3
28C,11,12,12,0,12,3
28C,12,12,12,0,12,3
28C,13,12,12,0,12,3
28C,14,12,12,0,12,3
28C,15,12,12,0,12,3
31C,0,12,12,0,0,3
31C,1,12,12,0,0,3
31C,2,12,12,0,0,3
31C,3,12,12,0,0,3
31C,4,12,12,0,11,3
31C,5,12,12,0,11,3
31C,6,12,12,0,12,3
31C,7,12,12,0,12,3
31C,8,12,12,0,12,3
31C,9,12,12,0,12,3
31C,10,12,12,0,12,3
31C,11,12,12,0,12,3
31C,12,12,12,0,12,3
31C,13,12,12,0,12,3
31C,14,12,12,0,12,3
31C,15,12,12,0,12,3
28C,0,12,12,0,0,4
28C,1,12,12,0,0,4
28C,2,12,12,0,0,4
28C,3,12,12,0,0,4
28C,4,12,12,0,0,4
28C,5,12,12,0,0,4
28C,6,12,12,0,9,4
28C,7,12,12,0,9,4
28C,8,12,12,0,12,4
28C,9,12,12,0,11,4
28C,10,12,12,0,11,4
28C,11,12,12,0,11,4
28C,12,12,12,0,11,4
28C,13,12,12,0,11,4
28C,14,12,12,0,11,4
28C,15,12,12,0,11,4
31C,0,12,12,0,0,4
31C,1,12,12,0,0,4
31C,2,12,12,0,0,4
31C,3,12,12,0,0,4
31C,4,12,12,0,0,4
31C,5,12,12,0,0,4
31C,6,12,12,0,7,4
31C,7,12,12,0,7,4
31C,8,12,12,0,12,4
31C,9,12,12,0,10,4
31C,10,12,12,0,11,4
31C,11,12,12,0,11,4
31C,12,12,12,0,11,4
31C,13,12,12,0,11,4
31C,14,12,12,0,11,4
31C,15,12,12,0,11,4
28C,0,12,12,0,0,5
28C,1,12,12,0,0,5
28C,2,12,12,0,0,5
28C,3,12,12,0,0,5
28C,4,12,12,0,0,5
28C,5,12,12,0,0,5
28C,6,12,12,0,0,5
28C,7,12,12,0,0,5
28C,8,12,12,0,11,5
28C,9,12,12,0,11,5
28C,10,12,12,0,11,5
28C,11,12,12,0,11,5
28C,12,12,12,0,11,5
28C,13,12,12,0,11,5
28C,14,12,12,0,11,5
28C,15,12,12,0,11,5
31C,0,12,12,0,0,5
31C,1,12,12,0,0,5
31C,2,12,12,0,0,5
31C,3,12,12,0,0,5
31C,4,12,12,0,0,5
31C,5,12,12,0,0,5
31C,6,12,12,0,0,5
31C,7,12,12,0,0,5
31C,8,12,12,0,8,5
31C,9,12,12,0,6,5
31C,10,12,12,0,7,5
31C,11,12,12,0,7,5
31C,12,12,12,0,7,5
31C,13,12,12,0,7,5
31C,14,12,12,0,8,5
31C,15,12,12,0,9,5
28C,0,12,12,0,0,6
28C,1,12,12,0,0,6
28C,2,12,12,0,0,6
28C,3,12,12,0,0,6
28C,4,12,12,0,0,6
28C,5,12,12,0,0,6
28C,6,12,12,0,0,6
28C,7,12,12,0,0,6
28C,8,12,12,0,0,6
28C,9,12,12,0,0,6
28C,10,12,12,0,0,6
28C,11,12,12,0,0,6
28C,12,12,12,0,9,6
28C,13,12,12,0,9,6
28C,14,12,12,0,11,6
28C,15,12,12,0,12,6
31C,0,12,12,0,0,6
31C,1,12,12,0,0,6
31C,2,12,12,0,0,6
31C,3,12,12,0,0,6
31C,4,12,12,0,0,6
31C,5,12,12,0,0,6
31C,6,12,12,0,0,6
31C,7,12,12,0,0,6
31C,8,12,12,0,0,6
31C,9,12,12,0,0,6
31C,10,12,12,0,0,6
31C,11,12,12,0,0,6
31C,12,12,12,0,1,6
31C,13,12,12,0,1,6
31C,14,12,12,0,4,6
31C,15,12,12,0,4,6
