model,omitted_id,omitted_event_status,omitted_growth,estimate,p_value,status
lm_growth_by_new_corallites_all_wounded,129,yes,2.771803270813767,0.6702204961537196,0.3989606824682329,estimated
lm_growth_by_new_corallites_all_wounded,175,no,2.668216197914724,0.8913899689665016,0.33311121285601464,estimated
lm_growth_by_new_corallites_all_wounded,149,yes,3.4057234862932484,1.739020269717098,0.11162046819199435,estimated
lm_growth_by_new_corallites_all_wounded,121,yes,4.648325454303104,0.9011770725831767,0.3369516796362314,estimated
lm_growth_by_new_corallites_all_wounded,143,no,3.453773772224109,0.9760476874727968,0.31248360784419715,estimated
lm_growth_by_new_corallites_all_wounded,115,yes,4.489527323353529,0.9125882892129608,0.3618865964557588,estimated
lm_growth_by_new_corallites_all_wounded,174,no,3.6010396776230116,0.9823971377185299,0.3009666648023555,estimated
lm_growth_by_new_corallites_all_wounded,113,yes,3.761862441568305,1.0677751620718956,0.20878862905251744,estimated
lm_growth_by_new_corallites_all_wounded,110,no,3.4129230353156794,0.9688311535079012,0.3157990148740747,estimated
lm_growth_by_new_corallites_all_wounded,126,no,3.4036166126762666,0.9671871167009385,0.3165537379843716,estimated
lm_growth_by_new_corallites_all_wounded,170,no,3.8549361153135693,1.0071675218834615,0.2901400504580699,estimated
lm_growth_by_new_corallites_all_wounded,119,yes,4.640235101543025,0.8673245196543405,0.38440425225267305,estimated
lm_growth_by_new_corallites_all_wounded,116,no,4.996196180964925,1.7075130037875483,0.08089565840472447,estimated
lm_growth_by_new_corallites_all_wounded,133,yes,4.608062117059705,0.8769873955401157,0.37954942818193527,estimated
lm_growth_by_new_corallites_all_wounded,117,yes,5.0948772445448745,0.9561372929206245,0.31478730678855094,estimated
lm_growth_by_new_corallites_all_wounded,152,no,4.367114404199804,1.0571361354333388,0.2657660939831013,estimated
lm_growth_by_new_corallites_all_wounded,130,yes,6.575445735984332,1.1383611072516353,0.22659049173285642,estimated
lm_growth_by_new_corallites_all_wounded,172,yes,5.851091397541983,1.0577402961930873,0.26545091278044436,estimated
lm_growth_by_new_corallites_all_wounded,177,yes,6.278958365877883,1.0159971773310486,0.28607781008353733,estimated
lm_growth_by_new_corallites_all_wounded,166,yes,6.734446431734614,0.9715593172474647,0.30543585961447445,estimated
lm_growth_by_new_corallites_all_wounded,146,yes,6.924959191475062,0.9917848497618243,0.28717254508005896,estimated
lm_growth_by_new_corallites_all_wounded,179,yes,7.541791207911265,0.8927939732302312,0.3327137852334854,estimated
