screen,x_variable,y_variable,n_source_patches,observed_slope,boot_slope_median,boot_slope_lo,boot_slope_hi,expected_tradeoff_direction,boot_prob_tradeoff_direction,interpretation
ambient growth vs growth heat drop,growth at 28C,growth lost under heat,3,1.4766669865144253,0.9687970631389726,-1.267806146895071,4.331235083203652,positive,0.8944,possible source-level growth/heat-tolerance trade-off
ambient growth vs non-growth heat penalty,growth at 28C,heat penalty excluding growth,3,0.5854888013019446,0.381331753388791,-0.2716015456610866,1.2933548080361628,positive,0.9596,possible source-level growth/heat-tolerance trade-off
ambient growth vs heated new corallites,growth at 28C,new corallites under heat,3,-56.32446814900085,-30.267718183811233,-116.63152693484521,41.44950340206151,negative,0.92,little support for expected trade-off direction
ambient growth vs heated tip extension,growth at 28C,tip extension under heat,3,-27.771266249018385,-14.737891116973923,-83.74064911195796,39.755695214992926,negative,0.7968,little support for expected trade-off direction
growth heat drop vs heated new corallites,growth lost under heat,new corallites under heat,3,-34.14057153940648,-21.14388177759549,-76.65973822415764,12.270365476357014,positive,0.073,pattern is opposite the expected trade-off direction
non-regeneration heat penalty vs heated new corallites,heat penalty excluding regeneration,new corallites under heat,3,-94.5561046647027,-80.23226535335459,-143.0302868076027,-4.088589521010893,positive,0.0194,pattern is opposite the expected trade-off direction
non-regeneration heat penalty vs heated tip extension,heat penalty excluding regeneration,tip extension under heat,3,-52.79170158144269,-44.45364512992164,-102.00124595971943,20.19976870392479,positive,0.0708,pattern is opposite the expected trade-off direction
