"sheet_row","species","date","day","treatment","tank","thicket ","sample","id","wounded","health_status","disease_status","polyps_out","hole_in_center","polyp_in_hole","wound_smoothed","pigment_over_wound","tip_exist","tip_extension","new_corallites_on_tip","algae_on_wound","notes"
"5","a. pulchra","06/04/2025","0","28","9","c","gene/physio","121","yes","alive","NA","yes","no","no","no","no","no","no","no","no",""
"27","a. pulchra","06/04/2025","0","31","5","c","gene/physio","115","yes","alive","NA","yes","no","no","no","no","no","no","no","no",""
"53","a. pulchra","06/05/2025","1","28","9","c","gene/physio","121","yes","alive","NA","yes","no","no","no","no","no","no","no","no",""
"75","a. pulchra","06/05/2025","1","31","5","c","gene/physio","115","yes","alive","NA","yes","no","no","no","no","no","no","no","no",""
"101","a. pulchra","06/06/2025","2","28","9","c","gene/physio","121","yes","alive","NA","yes","no","no","no","no","no","no","no","no",""
"123","a. pulchra","06/06/2025","2","31","5","c","gene/physio","115","yes","alive","NA","yes","no","no","no","no","no","no","no","no",""
"149","a. pulchra","06/07/2025","3","28","9","c","gene/physio","121","yes","alive","NA","yes","no","no","no","no","no","no","no","no","checked and treated for AEF by pipette"
"171","a. pulchra","06/07/2025","3","31","5","c","gene/physio","115","yes","alive","NA","yes","yes","yes","no","no","no","no","no","no","checked and treated for AEF by pipette"
"197","a. pulchra","06/08/2025","4","28","9","c","gene/physio","121","yes","alive","NA","no","no","no","no","no","no","no","no","no","checked and treated for AEF by chemical treatment"
"219","a. pulchra","06/08/2025","4","31","5","c","gene/physio","115","yes","alive","NA","no","yes","yes","yes","no","no","no","no","no","checked and treated for AEF by chemical treatment"
"245","a. pulchra","06/09/2025","5","28","9","c","gene/physio","121","yes","alive","NA","yes","no","no","no","no","no","no","no","no",""
"267","a. pulchra","06/09/2025","5","31","5","c","gene/physio","115","yes","alive","NA","yes","yes","yes","yes","no","no","no","no","no",""
"293","a. pulchra","06/10/2025","6","28","9","c","gene/physio","121","yes","alive","NA","yes","no","no","yes","no","no","no","no","no",""
"315","a. pulchra","06/10/2025","6","31","5","c","gene/physio","115","yes","alive","NA","yes","yes","yes","yes","no","no","no","no","no",""
"341","a. pulchra","06/11/2025","7","28","9","c","gene/physio","121","yes","alive","NA","yes","no","no","yes","no","no","no","no","no",""
"363","a. pulchra","06/11/2025","7","31","5","c","gene/physio","115","yes","alive","NA","no","yes","yes","yes","no","no","no","no","no",""
"389","a. pulchra","06/12/2025","8","28","9","c","gene/physio","121","yes","alive","NA","yes","no","no","yes","no","yes","no","no","no","checked for worms by pipette"
"411","a. pulchra","06/12/2025","8","31","5","c","gene/physio","115","yes","alive","NA","yes","yes","yes","yes","no","yes","no","no","no","checked for worms by pipette"
"437","a. pulchra","06/13/2025","9","28","9","c","gene/physio","121","yes","alive","NA","yes","yes","yes","yes","","no","no","no","no",""
"459","a. pulchra","06/13/2025","9","31","5","c","gene/physio","115","yes","alive","NA","yes","yes","yes","yes","","yes","no","no","no",""
"485","a. pulchra","06/14/2025","10","28","9","c","gene/physio","121","yes","alive","NA","yes","yes","yes","yes","no","no","no","no","no",""
"507","a. pulchra","06/14/2025","10","31","5","c","gene/physio","115","yes","alive","NA","yes","yes","yes","yes","no","yes","no","no","no",""
"533","a. pulchra","06/15/2025","11","28","9","c","gene/physio","121","yes","alive","NA","yes","yes","yes","yes","no","no","no","no","no",""
"555","a. pulchra","06/15/2025","11","31","5","c","gene/physio","115","yes","alive","NA","yes","yes","yes","yes","no","yes","no","no","no",""
"581","a. pulchra","06/16/2025","12","28","9","c","gene/physio","121","yes","alive","NA","yes","yes","yes","yes","yes","no","no","no","no",""
"603","a. pulchra","06/16/2025","12","31","5","c","gene/physio","115","yes","alive","NA","yes","yes","yes","yes","no","yes","no","no","no",""
"629","a. pulchra","06/17/2025","13","28","9","c","gene/physio","121","yes","alive","NA","yes","yes","yes","yes","yes","no","no","no","no",""
"651","a. pulchra","06/17/2025","13","31","5","c","gene/physio","115","yes","alive","NA","yes","yes","yes","yes","no","yes","no","no","no",""
"677","a. pulchra","06/18/2025","14","28","9","c","gene/physio","121","yes","alive","NA","yes","yes","yes","yes","yes","no","no","no","no",""
"699","a. pulchra","06/18/2025","14","31","5","c","gene/physio","115","yes","alive","NA","yes","yes","yes","yes","no","yes","no","yes","no",""
"725","a. pulchra","06/19/2025","15","28","9","c","gene/physio","121","yes","alive","NA","yes","yes","yes","yes","yes","no","no","yes","no",""
"747","a. pulchra","06/19/2025","15","31","5","c","gene/physio","115","yes","alive","NA","yes","yes","yes","yes","yes","yes","yes","yes","no",""
